epoch,avg_loss
1,0.013219105184078216
2,-0.11035917368531227
3,-0.1613479672074318
4,-0.19492375460267067
5,-0.21420188614726066
6,-0.22694831624627113
7,-0.23543026748299598
8,-0.23846614098548888
9,-0.24740283808112146
10,-0.25359100970625875
11,-0.2539244506061077
12,-0.25756108641624453
13,-0.2624460286796093
14,-0.2616648433804512
15,-0.26435727360844613
16,-0.2700981943309307
17,-0.26780770188570024
18,-0.2695800868868828
19,-0.26856994301080706
20,-0.27275628367066385
21,-0.27559633284807206
22,-0.2726910102069378
23,-0.2728971000313759
24,-0.2743748698830605
25,-0.2759175150096416
26,-0.2790680801272392
27,-0.28103035312891006
28,-0.2788250412046909
29,-0.27995459851622584
30,-0.2829444883465767
31,-0.28298613759875296
32,-0.28383642438054085
33,-0.2836206932663918
34,-0.2828118606805801
35,-0.28414729043841364
36,-0.28651215228438376
37,-0.28516239079833033
38,-0.2864922002255917
39,-0.28726725608110426
40,-0.28630405765771866
41,-0.28630081364512444
42,-0.2858608872294426
43,-0.28812507942318916
44,-0.2879079519510269
45,-0.2885733917057514
46,-0.2897662313580513
47,-0.2894670740067959
48,-0.29026494109630585
49,-0.290367965221405
50,-0.2903749433159828
51,-0.29012310510873796
52,-0.2915892945230007
53,-0.2915621865689754
54,-0.2921194366514683
55,-0.2921691248714924
56,-0.29259398597478864
57,-0.29267699214816095
58,-0.2929666560590267
59,-0.29370413851737975
60,-0.2928430874943733
61,-0.29395753610134123
62,-0.2935375199019909
63,-0.29416241037845614
64,-0.2944077703356743
65,-0.2948449689149857
66,-0.29490224570035933
67,-0.29499771082401277
68,-0.2951486228108406
69,-0.29522624534368513
70,-0.29531278151273727
71,-0.2954143564105034
72,-0.29550036358833315
73,-0.29555776154994967
74,-0.29560966974496844
75,-0.2955577290654182
76,-0.2956498048901558
77,-0.29573428440093996
78,-0.2956822246313095
79,-0.2958307912349701
80,-0.295680291056633
