family,n,instance,m,prop_n,prop_m,prop_density,prop_avg_degree,prop_max_degree,prop_min_degree,prop_degree_std,prop_clustering_coeff,prop_diameter,prop_avg_path_length,prop_spectral_gap,prop_lambda_max_laplacian,prop_algebraic_connectivity,prop_spectral_radius,prop_lambda_min_adj,prop_n_components,random_cut,random_time,greedy_cut,greedy_time,spectral_cut,spectral_time,gw_cut,gw_time,gnn_cut,gnn_time,best_classical_cut,gnn_wins,gnn_ties
erdos_renyi,20,0,31,20,31,0.1631578947368421,3.1,6,1,1.5459624833740306,0.08,5,2.521052631578947,0.2484428079744184,7.83082527604693,0.2484428079744184,3.9167849668940127,-2.982245898529255,1,14.0,0.0135544999502599,25.0,0.0012955411802977,24.0,0.0077541670762002,27.0,0.0999870409723371,24.0,0.1342580001801252,27.0,0,0
erdos_renyi,20,1,21,20,21,0.1105263157894736,2.1,6,1,1.4798648586948742,0.075,6,3.0842105263157893,0.1190191212556138,7.512166386907762,0.1190191212556138,2.935975334370146,-2.818655930275193,1,7.0,0.000541458139196,20.0,0.0006014578975737,19.0,0.0010024169459939,20.0,0.0411895420402288,17.0,0.1020600001793354,20.0,0,0
erdos_renyi,20,2,25,20,25,0.131578947368421,2.5,5,1,1.2041594578792296,0.21,9,3.7,0.0777185512971404,7.030589751306401,0.0777185512971404,3.2710504263194857,-2.8027885224546494,1,9.0,0.000417707953602,20.0,0.000482624862343,22.0,0.0010542911477386,22.0,0.0328926669899374,21.0,0.1298496657982468,22.0,0,0
erdos_renyi,20,3,27,20,27,0.1421052631578947,2.7,6,1,1.5524174696260025,0.045,6,2.857894736842105,0.1834375598956964,8.150034561218362,0.1834375598956964,3.669807155474343,-3.181271212429404,1,15.0,0.0004985418636351,21.0,0.0005579579155892,24.0,0.000958832912147,24.0,0.0288024169858545,21.0,0.1325130420736968,24.0,0,0
erdos_renyi,20,4,37,20,37,0.1947368421052631,3.7,9,1,1.76351920885484,0.255,6,2.347368421052632,0.4221608619528478,10.25772314226098,0.4221608619528478,4.586048107160339,-3.004442020459692,1,7.0,0.0004023341462016,29.0,0.0004670831840485,28.0,0.0012152078561484,29.0,0.0292509160935878,29.0,0.1177360829897224,29.0,0,1
erdos_renyi,20,5,22,20,22,0.1157894736842105,2.2,4,1,1.0770329614269007,0.0333333333333333,9,3.852631578947368,0.0735444397671011,5.766296531879128,0.0735444397671011,2.816407266697177,-2.557235946895117,1,11.0,0.0005018331576138,18.0,0.0005444169510155,21.0,0.0009324580896645,21.0,0.0366265410557389,20.0,0.1165364580228924,21.0,0,0
erdos_renyi,20,6,39,20,39,0.2052631578947368,3.9,6,2,1.2609520212918492,0.1883333333333333,4,2.1736842105263157,0.871697074058009,8.04965692826858,0.871697074058009,4.328914586028832,-3.346491716130298,1,24.0,0.0005358329508453,33.0,0.0006340411491692,33.0,0.0012442090082913,34.0,0.0394763329531997,28.0,0.1090421669650822,34.0,0,0
erdos_renyi,20,7,30,20,30,0.1578947368421052,3.0,7,1,1.70293863659264,0.2547619047619047,6,2.594736842105263,0.295671325638364,8.766509802152063,0.295671325638364,3.843799739036157,-3.366845843489988,1,16.0,0.0004545419942587,25.0,0.0005242079496383,25.0,0.0013879160396754,25.0,0.035647541983053,25.0,0.1105500829871743,25.0,0,1
erdos_renyi,20,8,27,20,27,0.1421052631578947,2.7,6,1,1.2688577540449522,0.0933333333333333,7,2.973684210526316,0.167852588175849,7.272907531711997,0.167852588175849,3.5255423834769033,-2.667923508575566,1,13.0,0.0005022501572966,23.0,0.0005842498503625,23.0,0.0010128340218216,23.0,0.0328788340557366,22.0,0.1170087498612701,23.0,0,0
erdos_renyi,20,9,21,20,21,0.1105263157894736,2.1,5,1,1.0908712114635717,0.03,10,4.026315789473684,0.0732407252343339,6.25896044581541,0.0732407252343339,2.8112837398950528,-2.2946750547081547,1,10.0,0.0004509577993303,18.0,0.0008627499919384,19.0,0.0022005001083016,20.0,0.0383523749187588,19.0,0.1220435830764472,20.0,0,0
