n,instance,nn_length,nn_time,christofides_length,christofides_time,twoopt_length,twoopt_time,gnn_length,gnn_time,best_classical,gnn_wins
20,0,4.6503841555964485,8.187489584088326e-05,4.019554568629259,0.006286415969952941,3.866266770061002,0.000775249907746911,3.866266770061002,0.002773999935016036,3.866266770061002,0
20,1,5.087695211845522,8.825003169476986e-05,4.0908271808422025,0.0023577080573886633,4.106467927455762,0.0006360409315675497,4.106467927455762,0.0026660829316824675,4.0908271808422025,0
20,2,5.131885513435842,7.279193960130215e-05,4.680194299521159,0.0029294160194694996,4.585095779485719,0.0006414169911295176,4.585095779485719,0.0023044170811772346,4.585095779485719,0
20,3,4.45712970372309,0.0001589590683579445,3.7017286903334066,0.00450849998742342,3.5589818670258606,0.0008331669960170984,3.5589818670258606,0.0027894589584320784,3.5589818670258606,0
20,4,4.4336037963283115,7.454096339643002e-05,4.330083571623778,0.0029098750092089176,4.204839598311477,0.0004330419469624758,4.204839598311477,0.0021144580096006393,4.204839598311477,0
20,5,3.665902009700783,7.408391684293747e-05,3.5163441428522186,0.001558207906782627,3.273739639778642,0.00042566610500216484,3.273739639778642,0.0028708339668810368,3.273739639778642,0
20,6,5.69592654655434,7.941597141325474e-05,4.942575240670991,0.0023908750154078007,4.5604948122081925,0.0008361248765140772,4.5604948122081925,0.002590708900243044,4.5604948122081925,0
20,7,4.080966656336418,7.704203017055988e-05,4.3134255339418,0.0031894168350845575,3.9221797655983646,0.0004309997893869877,3.9221797655983646,0.0020819169003516436,3.9221797655983646,0
20,8,4.908116501392411,7.691700011491776e-05,4.36878370757327,0.002165250014513731,4.197976863244586,0.001038749935105443,4.197976863244586,0.0027704578824341297,4.197976863244586,0
20,9,4.533507878481408,7.183384150266647e-05,3.9533781845463016,0.0020054581109434366,3.995278081289923,0.000431333901360631,3.995278081289923,0.0020715410355478525,3.9533781845463016,0
20,10,4.6611685557079765,7.679197005927563e-05,3.934308779329319,0.0011282500345259905,3.8248351482445186,0.0006220829673111439,3.8248351482445186,0.002685416955500841,3.8248351482445186,0
20,11,4.931708482306681,8.437503129243851e-05,4.6372603927876,0.002128374995663762,4.306091956059521,0.0008557918481528759,4.306091956059521,0.002819332992658019,4.306091956059521,0
20,12,3.902226569941427,7.937499321997166e-05,3.999661274005397,0.0016835408750921488,3.833458988665623,0.00042225001379847527,3.833458988665623,0.0020972080528736115,3.833458988665623,0
20,13,4.394884092450634,7.52920750528574e-05,4.7686665236275205,0.002268209122121334,4.152056401023906,0.0004199170507490635,4.152056401023906,0.002455499954521656,4.152056401023906,0
20,14,5.3169520288950025,7.654190994799137e-05,4.240063075967156,0.001390625024214387,4.06946290044387,0.0005501669365912676,4.06946290044387,0.00247150007635355,4.06946290044387,0
20,15,4.426506772810569,7.054186426103115e-05,4.570902063065553,0.0021606669761240482,4.244204121132199,0.0005502498243004084,4.244204121132199,0.0021830841433256865,4.244204121132199,0
20,16,4.728842077065174,6.787502206861973e-05,4.649336913058995,0.0019320829305797815,4.486817288376761,0.000905666034668684,4.486817288376761,0.0027485419996082783,4.486817288376761,0
20,17,4.637883833574757,7.500010542571545e-05,4.588937167384509,0.0018001662101596594,4.199607352755304,0.00037233298644423485,4.199607352755304,0.0020609169732779264,4.199607352755304,0
20,18,3.639980394797514,6.904080510139465e-05,3.6150804672384487,0.0017020830418914557,3.4793398043406887,0.00037479097954928875,3.4793398043406887,0.002070375019684434,3.4793398043406887,0
20,19,4.715831078037774,6.762496195733547e-05,4.6324597661399105,0.0017621670849621296,4.2270674847575505,0.000745000084862113,4.2270674847575505,0.0024848750326782465,4.2270674847575505,0
20,20,3.565244050951971,6.574997678399086e-05,3.5109184440726215,0.001821459038183093,3.4038760387066493,0.0005510000046342611,3.4038760387066493,0.0019923329818993807,3.4038760387066493,0
20,21,3.439861586250109,6.466684862971306e-05,3.576077815548255,0.0013133750762790442,3.3126577683688185,0.0003909580409526825,3.3126577683688185,0.002504291944205761,3.3126577683688185,0
20,22,3.799113247867599,6.904196925461292e-05,3.5869111364560027,0.0010519579518586397,3.613964616765861,0.0005562920123338699,3.613964616765861,0.002427416853606701,3.5869111364560027,0
20,23,4.8082256769096565,6.879097782075405e-05,4.7360654498666195,0.0018305000849068165,4.006235261992942,0.000733459135517478,4.006235261992942,0.002154707908630371,4.006235261992942,0
20,24,3.688720894831109,6.283307448029518e-05,4.242265007362189,0.001395750092342496,3.688720894831109,0.0002068749163299799,3.688720894831109,0.001602542120963335,3.688720894831109,0
20,25,5.408827640311104,6.700004450976849e-05,5.091295620724786,0.001742666121572256,5.047562995615376,0.0007007920648902655,5.047562995615376,0.0031280829571187496,5.047562995615376,0
20,26,4.676548662373809,7.104105316102505e-05,4.624813327827783,0.001881832955405116,4.496472149740091,0.0005517909303307533,4.496472149740091,0.0019894170109182596,4.496472149740091,0
20,27,4.452579664003679,6.574997678399086e-05,4.418488609782037,0.0023999158293008804,3.7508950573500277,0.00038312491960823536,3.7508950573500277,0.0018208329565823078,3.7508950573500277,0
20,28,4.223009061540163,6.687501445412636e-05,4.054827002958847,0.0018615000881254673,3.6124883474422944,0.000395667040720582,3.6124883474422944,0.002513166982680559,3.6124883474422944,0
20,29,5.016591025955742,7.875007577240467e-05,4.099753182653993,0.002369666937738657,4.374208472670267,0.0005525411106646061,4.374208472670267,0.0020468749571591616,4.099753182653993,0
50,0,6.947554613501359,0.0003242089878767729,6.200686733339754,0.011316458927467465,5.681070421354116,0.002416625153273344,5.681070421354116,0.006660209037363529,5.681070421354116,0
50,1,6.567685610971446,0.00048550008796155453,5.971268824741778,0.009576916927471757,5.710283676786177,0.004819917026907206,5.710283676786177,0.009236166952177882,5.710283676786177,0
50,2,7.771742924375129,0.0003612081054598093,6.753020005455713,0.014596832916140556,6.422931723981305,0.004878750070929527,6.422931723981305,0.009891249937936664,6.422931723981305,0
50,3,7.272548126669061,0.00040670810267329216,6.481188271238367,0.017452290980145335,6.2875660230748185,0.004933791933581233,6.2875660230748185,0.00980904116295278,6.2875660230748185,0
50,4,8.012032889151518,0.0005035828799009323,6.38194588746258,0.011957417009398341,6.555228719234108,0.00516425003297627,6.555228719234108,0.011742833070456982,6.38194588746258,0
50,5,6.64387692075977,0.0005019169766455889,6.425592613399746,0.008193542016670108,6.164058348641947,0.004911958007141948,6.164058348641947,0.00942295789718628,6.164058348641947,0
50,6,7.253637582819374,0.0003460408188402653,6.705878391514413,0.011341874953359365,6.224408497041285,0.005130250006914139,6.224408497041285,0.010029583936557174,6.224408497041285,0
50,7,5.911520761457476,0.0005014999769628048,5.821898809136414,0.014176958007737994,5.682625740516674,0.002497333101928234,5.682625740516674,0.007460416993126273,5.682625740516674,0
