family,n,instance,m,prop_n,prop_m,prop_density,prop_avg_degree,prop_max_degree,prop_min_degree,prop_degree_std,prop_clustering_coeff,prop_diameter,prop_avg_path_length,prop_spectral_gap,prop_lambda_max_laplacian,prop_algebraic_connectivity,prop_spectral_radius,prop_lambda_min_adj,prop_n_components,random_cut,random_time,greedy_cut,greedy_time,spectral_cut,spectral_time,gw_cut,gw_time,gw_fallback,gnn_cut,gnn_time,best_classical_cut,gnn_wins,gnn_ties
erdos_renyi,20,0,32,20,32,0.16842105263157894,3.2,7,1,1.469693845669907,0.045714285714285714,5,2.4526315789473685,0.33989945301743735,8.596297879004133,0.33989945301743735,3.912773393401629,-3.164619013341015,1,15.0,0.0005645409692078829,28.0,0.0007056249305605888,27.0,0.001286582904867828,28.0,0.06636520801112056,False,28.0,0.08619633293710649,28.0,0,1
erdos_renyi,20,1,26,20,26,0.1368421052631579,2.6,4,1,1.1135528725660044,0.041666666666666664,6,2.8842105263157896,0.2972624174755862,6.413954222066517,0.2972624174755862,3.1555053871870693,-2.8018220932065323,1,12.0,0.0004687500186264515,21.0,0.0005317910108715296,23.0,0.001287874998524785,24.0,0.03362562507390976,False,23.0,0.12837162509094924,24.0,0,0
erdos_renyi,20,2,23,20,23,0.12105263157894737,2.3,5,1,1.1445523142259597,0.0,7,3.1894736842105265,0.19901982447429273,6.764184650807494,0.19901982447429273,2.9964450238552187,-2.8117137655631708,1,13.0,0.00044429104309529066,18.0,0.0005016250070184469,21.0,0.0025948750553652644,21.0,0.031543917022645473,False,21.0,0.07189879205543548,21.0,0,1
erdos_renyi,20,3,25,20,25,0.13157894736842105,2.5,5,1,1.118033988749895,0.09666666666666666,8,3.2736842105263158,0.1178254393630613,6.56040446373521,0.1178254393630613,3.1487597687876985,-2.7225007764801656,1,10.0,0.0019022910855710506,16.0,0.000741582945920527,23.0,0.0013078750343993306,23.0,0.046409000060521066,False,23.0,0.08393645903561264,23.0,0,1
erdos_renyi,20,4,39,20,39,0.20526315789473684,3.9,8,1,1.8681541692269403,0.15571428571428572,4,2.231578947368421,0.5365609013826239,9.579073609232326,0.5365609013826239,4.909201801455719,-3.102263338913311,1,18.0,0.0005720839835703373,29.0,0.0008412079187110066,31.0,0.002445499994792044,32.0,0.032613332965411246,False,30.0,0.0915323750814423,32.0,0,0
erdos_renyi,20,5,31,20,31,0.1631578947368421,3.1,7,1,1.5132745950421556,0.0680952380952381,5,2.542105263157895,0.4261394309223508,8.373261108886924,0.4261394309223508,3.885838894455283,-3.004933441235395,1,18.0,0.00044374994467943907,24.0,0.0005343749653548002,25.0,0.0013027499662712216,27.0,0.02917241700924933,False,26.0,0.08907245798036456,27.0,0,0
erdos_renyi,20,6,31,20,31,0.1631578947368421,3.1,6,1,1.1789826122551597,0.17166666666666666,5,2.5157894736842104,0.5517444714846861,7.825764393543361,0.5517444714846861,3.552140615865183,-3.04986041074384,1,15.0,0.0005293749272823334,25.0,0.0011057499796152115,25.0,0.001517374999821186,27.0,0.027373290969990194,False,27.0,0.07919383293483406,27.0,0,1
erdos_renyi,20,7,29,20,29,0.15263157894736842,2.9,5,1,1.3,0.10833333333333332,6,2.7263157894736842,0.35601998638139715,7.2676353984930016,0.35601998638139715,3.631673450897035,-3.0647681923231125,1,15.0,0.0004656669916585088,25.0,0.0008888329612091184,25.0,0.0013252079952508211,25.0,0.04249050002545118,False,25.0,0.08812974998727441,25.0,0,1
erdos_renyi,20,8,35,20,35,0.18421052631578946,3.5,5,2,0.9219544457292888,0.08666666666666667,4,2.3,0.8309409439374136,7.3852859694493445,0.8309409439374136,3.771270936262649,-3.0864155667667026,1,15.0,0.0021389169851318,30.0,0.0007746249902993441,29.0,0.0014048749580979347,30.0,0.03459404199384153,False,29.0,0.07636275002732873,30.0,0,0
erdos_renyi,20,9,27,20,27,0.14210526315789473,2.7,5,1,1.452583904633395,0.12,7,2.8947368421052633,0.20446868813391653,7.0350130514836975,0.20446868813391653,3.4870310452137745,-2.8145869159147723,1,6.0,0.0004895000020042062,23.0,0.0005424170522019267,23.0,0.0012884580064564943,23.0,0.05303499998990446,False,23.0,0.16733766696415842,23.0,0,1
erdos_renyi,20,10,27,20,27,0.14210526315789473,2.7,5,1,1.2288205727444508,0.08833333333333333,7,2.931578947368421,0.1428556902292024,7.052723812376622,0.1428556902292024,3.3456635409301434,-2.8015706486106158,1,14.0,0.0004736249102279544,21.0,0.0007548750145360827,24.0,0.0032123749842867255,24.0,0.05827941698953509,False,24.0,0.11569262493867427,24.0,0,1
erdos_renyi,20,11,35,20,35,0.18421052631578946,3.5,7,1,1.5,0.14119047619047617,5,2.357894736842105,0.5163675969462631,8.417345741246962,0.5163675969462631,4.180621194595384,-3.3087727608853643,1,18.0,0.0008423749823123217,26.0,0.0018876249669119716,27.0,0.0024607080267742276,31.0,0.06530916690826416,False,31.0,0.13292516698129475,31.0,0,1
erdos_renyi,20,12,28,20,28,0.14736842105263157,2.8,5,1,1.2489995996796797,0.10500000000000001,7,2.9263157894736844,0.23639625294581995,6.890246137735354,0.23639625294581995,3.6132347443529502,-2.8942147215717116,1,17.0,0.0007141669047996402,21.0,0.0008577499538660049,24.0,0.0036056250100955367,24.0,0.043349041021429,False,24.0,0.10554191702976823,24.0,0,1
erdos_renyi,20,13,27,20,27,0.14210526315789473,2.7,5,1,1.2288205727444508,0.06833333333333333,6,2.857894736842105,0.26250763268692234,7.007371879039653,0.26250763268692234,3.3301227119877117,-2.7045005920580523,1,12.0,0.0005879580276086926,22.0,0.0006423339946195483,23.0,0.0014017920475453138,24.0,0.029342707945033908,False,22.0,0.0809919589664787,24.0,0,0
erdos_renyi,20,14,27,20,27,0.14210526315789473,2.7,6,1,1.2688577540449522,0.2,6,2.889473684210526,0.23544584127312704,7.372071565719052,0.23544584127312704,3.360703933675821,-2.6480285879658694,1,16.0,0.0006083330372348428,20.0,0.0007272920338436961,24.0,0.0014387499541044235,24.0,0.042559958063066006,False,24.0,0.09745733300223947,24.0,0,1
erdos_renyi,20,15,24,20,24,0.12631578947368421,2.4,5,1,1.2000000000000002,0.06333333333333332,7,3.094736842105263,0.20691986276376467,6.603826102313814,0.20691986276376467,3.002210041937304,-2.6225652664925865,1,12.0,0.0004760419251397252,19.0,0.0005124580347910523,22.0,0.001140124979428947,22.0,0.031902333023026586,False,20.0,0.08183229190763086,22.0,0,0
erdos_renyi,20,16,21,20,21,0.11052631578947368,2.1,5,1,1.1357816691600546,0.0,9,3.7736842105263158,0.0857976162139189,6.554351058347386,0.0857976162139189,2.7626128378509693,-2.710186837744141,1,13.0,0.0004849160322919488,20.0,0.0004843749338760972,20.0,0.0016564999241381884,20.0,0.04032204195391387,False,20.0,0.0770867500687018,20.0,0,1
erdos_renyi,20,17,27,20,27,0.14210526315789473,2.7,7,1,1.676305461424021,0.028095238095238097,7,2.9210526315789473,0.180144855667849,8.504931409441337,0.180144855667849,3.8146669143051906,-3.315438707485302,1,16.0,0.0004302909364923835,22.0,0.00046083296183496714,26.0,0.0011926249135285616,26.0,0.03362183296121657,False,24.0,0.10871120798401535,26.0,0,0
erdos_renyi,20,18,33,20,33,0.1736842105263158,3.3,6,1,1.3076696830622019,0.24499999999999997,5,2.531578947368421,0.4123803182997448,7.577781442039255,0.4123803182997448,3.7582113393191725,-2.9142744938569454,1,14.0,0.0011020420351997018,24.0,0.0009768749587237835,26.0,0.005123374983668327,27.0,0.036470666993409395,False,26.0,0.08913475007284433,27.0,0,0
erdos_renyi,20,19,28,20,28,0.14736842105263157,2.8,7,1,1.5684387141358123,0.08404761904761905,6,2.778947368421053,0.27531179156102686,8.622886302254894,0.27531179156102686,3.7127399644523225,-3.18170543476181,1,16.0,0.0004396250005811453,21.0,0.0007056249305605888,24.0,0.001885749981738627,24.0,0.04926362505648285,False,24.0,0.08187258301768452,24.0,0,1
erdos_renyi,20,20,33,20,33,0.1736842105263158,3.3,7,1,1.584297951775486,0.24357142857142855,5,2.4894736842105263,0.45117494267642627,8.288771035551157,0.45117494267642627,4.163509123717764,-2.803475708262235,1,20.0,0.0010307920165359974,26.0,0.0011739169713109732,26.0,0.002114624949172139,27.0,0.06299058301374316,False,26.0,0.15953199996147305,27.0,0,0
erdos_renyi,20,21,36,20,36,0.18947368421052632,3.6,6,1,1.4628738838327793,0.1983333333333333,4,2.263157894736842,0.7015520322876406,7.991806927902866,0.7015520322876406,4.188290321361666,-3.1336477466537254,1,14.0,0.00040600006468594074,27.0,0.000536791980266571,30.0,0.0009722909890115261,30.0,0.03361895901616663,False,30.0,0.1697535829152912,30.0,0,1
erdos_renyi,20,22,39,20,39,0.20526315789473684,3.9,7,1,1.8411952639521971,0.18785714285714286,5,2.2421052631578946,0.7002079837956116,8.89924639349639,0.7002079837956116,4.6837188030952,-3.4279687125701837,1,19.0,0.0005080420523881912,27.0,0.0007038749754428864,32.0,0.0013771250378340483,32.0,0.03527875000145286,False,32.0,0.12324250000528991,32.0,0,1
erdos_renyi,20,23,30,20,30,0.15789473684210525,3.0,5,1,1.0488088481701516,0.09666666666666666,6,2.731578947368421,0.2496275399120398,7.122597641066506,0.2496275399120398,3.4302680279036792,-3.0125020717646747,1,13.0,0.0009194579906761646,24.0,0.001317166956141591,25.0,0.0026307919761165977,26.0,0.07969379099085927,False,26.0,0.10766058298759162,26.0,0,1
erdos_renyi,20,24,31,20,31,0.1631578947368421,3.1,9,1,1.786057109949175,0.15583333333333332,5,2.442105263157895,0.4754454284410821,10.276572218490879,0.4754454284410821,4.010959605108202,-3.366133977296914,1,15.0,0.0014202079037204385,24.0,0.00205204205121845,27.0,0.0023007089039310813,27.0,0.07402562501374632,False,27.0,0.0938929159892723,27.0,0,1
erdos_renyi,20,25,21,20,21,0.11052631578947368,2.1,4,1,0.9433981132056604,0.075,10,4.1421052631578945,0.0682146031549687,5.502246340248195,0.0682146031549687,2.6124407799363034,-2.4185230956078065,1,11.0,0.0012456669937819242,18.0,0.0005589589709416032,20.0,0.0029142500134184957,20.0,0.04795258305966854,False,20.0,0.08149875001981854,20.0,0,1
erdos_renyi,20,26,31,20,31,0.1631578947368421,3.1,6,1,1.445683229480096,0.13833333333333334,6,2.6894736842105265,0.2629104499095502,7.4315966903230155,0.2629104499095502,4.04255530687532,-2.6959599788072435,1,16.0,0.000629125046543777,23.0,0.0011507499730214477,26.0,0.0012589589459821582,26.0,0.0401222090004012,False,25.0,0.089092459063977,26.0,0,0
erdos_renyi,20,27,32,20,32,0.16842105263157894,3.2,6,1,1.5999999999999999,0.06999999999999999,5,2.463157894736842,0.4450425800903451,7.699846341744394,0.4450425800903451,4.012491123776112,-2.9262309318199677,1,14.0,0.0004028750117868185,24.0,0.0008653749246150255,26.0,0.0009322080295532942,27.0,0.05087549996096641,False,25.0,0.09364804206416011,27.0,0,0
erdos_renyi,20,28,24,20,24,0.12631578947368421,2.4,6,1,1.3928388277184118,0.07166666666666667,8,3.3210526315789473,0.09175976705998358,7.293468810439275,0.09175976705998358,3.1969466690394257,-2.7845782862892445,1,8.0,0.0005229159723967314,21.0,0.0006008329801261425,22.0,0.0015374579234048724,22.0,0.04539933300111443,False,22.0,0.11162370897363871,22.0,0,1
erdos_renyi,20,29,25,20,25,0.13157894736842105,2.5,5,1,1.4317821063276353,0.06333333333333332,6,2.8947368421052633,0.22607788019878716,7.0631046192954585,0.22607788019878716,3.2377847900902266,-3.0228358541173925,1,14.0,0.00040537503082305193,20.0,0.001878499984741211,24.0,0.0011164580937474966,24.0,0.044697207980789244,False,24.0,0.09680445794947445,24.0,0,1
erdos_renyi,50,0,180,50,180,0.1469387755102041,7.2,12,3,2.172556098240043,0.13907215007215007,4,2.130612244897959,2.2384267554571937,14.316043027127897,2.2384267554571937,7.836142102473763,-4.611639047116229,1,79.0,0.0010597910732030869,124.0,0.0044108330039307475,126.0,0.005451250006444752,133.0,0.1942728750873357,False,132.0,0.14416445803362876,133.0,0,0
erdos_renyi,50,1,173,50,173,0.14122448979591837,6.92,13,3,2.3395726105423615,0.14467321567321567,4,2.1853061224489796,1.835567052059906,15.17230441935595,1.835567052059906,7.7241697056081,-4.708171312316859,1,83.0,0.0009289589943364263,122.0,0.002579334075562656,126.0,0.004878541920334101,127.0,0.21110366703942418,False,127.0,0.2721016249852255,127.0,0,1
erdos_renyi,50,2,182,50,182,0.14857142857142858,7.28,17,2,2.623280389131135,0.1660356538885951,4,2.1355102040816325,1.7571080159042634,18.514508083837327,1.7571080159042634,8.25336094029813,-4.9069836150555215,1,97.0,0.0007607919396832585,129.0,0.0019044580403715372,136.0,0.007212541997432709,136.0,0.23078637500293553,False,136.0,0.13690179190598428,136.0,0,1
erdos_renyi,50,3,159,50,159,0.12979591836734694,6.36,12,2,2.1331666601557413,0.10653679653679653,4,2.275918367346939,1.4255966731212835,13.745257926706765,1.4255966731212835,7.171800649734616,-4.45794410954476,1,91.0,0.0006291669560596347,118.0,0.001814916031435132,122.0,0.0027327078860253096,121.0,0.1371293340343982,False,120.0,0.18994900002144277,122.0,0,0
erdos_renyi,50,4,186,50,186,0.15183673469387754,7.44,15,1,2.85769137591868,0.14874114774114774,4,2.146122448979592,0.6786548557821568,16.908496439944457,0.6786548557821568,8.599134364659836,-4.6918545676964,1,96.0,0.0007957499474287033,127.0,0.011505417060106993,129.0,0.007109749945811927,135.0,0.16383179207332432,False,133.0,0.12104191607795656,135.0,0,0
