family,n,instance,m,prop_n,prop_m,prop_density,prop_avg_degree,prop_max_degree,prop_min_degree,prop_degree_std,prop_clustering_coeff,prop_diameter,prop_avg_path_length,prop_spectral_gap,prop_lambda_max_laplacian,prop_algebraic_connectivity,prop_spectral_radius,prop_lambda_min_adj,prop_n_components,random_cut,random_time,greedy_cut,greedy_time,spectral_cut,spectral_time,gw_cut,gw_time,gnn_cut,gnn_time,best_classical_cut,gnn_wins,gnn_relative
erdos_renyi,20,0,29,20,29,0.15263157894736842,2.9,5,1,1.1357816691600546,0.026666666666666665,6,2.705263157894737,0.24227044814818732,6.9992558068371835,0.24227044814818732,3.399015109173168,-2.862584986116812,1,14.0,0.0031617499989806674,23.0,0.0005243330015218817,24.0,0.0010963339955196716,25.0,0.07616737500211457,25.0,0.09319183399929898,25.0,0,1.0
erdos_renyi,20,1,23,20,23,0.12105263157894737,2.3,5,1,1.1445523142259597,0.075,8,3.457894736842105,0.11398448184075398,6.553385309911991,0.11398448184075398,2.8905637744110178,-2.745294293809783,1,11.0,0.0003468750001047738,18.0,0.00036429100146051496,22.0,0.001294166999286972,22.0,0.027499584000906907,22.0,0.07454475000122329,22.0,0,1.0
erdos_renyi,20,2,31,20,31,0.1631578947368421,3.1,6,1,1.3000000000000003,0.09333333333333334,5,2.542105263157895,0.38842631493502505,7.6837822599207595,0.38842631493502505,3.690302028704494,-2.8841786754507854,1,16.0,0.0003464580004219897,26.0,0.0005222920008236542,26.0,0.0008171250010491349,26.0,0.024402457995165605,26.0,0.07458012500137556,26.0,0,1.0
erdos_renyi,20,3,27,20,27,0.14210526315789473,2.7,6,1,1.2288205727444508,0.25833333333333336,8,3.221052631578947,0.12123221566416832,7.179711562063314,0.12123221566416832,3.264762696100162,-2.7228133102442413,1,15.0,0.00035200000274926424,20.0,0.0004289580028853379,23.0,0.0018659159977687523,23.0,0.021839583001565188,23.0,0.07277658300154144,23.0,0,1.0
erdos_renyi,20,4,30,20,30,0.15789473684210525,3.0,5,1,1.1832159566199232,0.065,8,3.168421052631579,0.1485710033681286,7.795733235343976,0.1485710033681286,3.759634100270338,-3.4748050916249142,1,16.0,0.0003255420015193522,27.0,0.0003812499999185093,28.0,0.0010836669971467927,28.0,0.02249091699923156,28.0,0.07289537500037113,28.0,0,1.0
erdos_renyi,20,5,30,20,30,0.15789473684210525,3.0,6,1,1.51657508881031,0.06166666666666667,7,2.873684210526316,0.18194145359155225,8.086998208985019,0.18194145359155225,4.039069110280627,-3.340052345338568,1,20.0,0.00028295800439082086,28.0,0.0003569170003174804,28.0,0.0007266669999808073,28.0,0.022283124999376014,28.0,0.07684670799790183,28.0,0,1.0
erdos_renyi,20,6,28,20,28,0.14736842105263157,2.8,5,2,1.0770329614269007,0.09666666666666666,6,2.8684210526315788,0.25508174004567924,7.157894056184249,0.25508174004567924,3.2790611729564025,-2.9295070600574302,1,15.0,0.0005010409950045869,24.0,0.000549832999240607,24.0,0.001423000001523178,25.0,0.038836792002257425,24.0,0.07127662499988219,25.0,0,0.96
erdos_renyi,20,7,29,20,29,0.15263157894736842,2.9,5,1,1.2609520212918492,0.08166666666666667,7,2.8157894736842106,0.25999050735640006,7.087719523273781,0.25999050735640006,3.6589378338064122,-2.822738919095578,1,12.0,0.0002932919960585423,22.0,0.0003308750019641593,23.0,0.001256916999409441,25.0,0.016759792000812013,24.0,0.07716929200250888,25.0,0,0.96
erdos_renyi,20,8,28,20,28,0.14736842105263157,2.8,5,2,0.812403840463596,0.185,7,3.068421052631579,0.19566230597972809,6.57277376529263,0.19566230597972809,3.177823987715509,-2.6277248604578,1,15.0,0.00044962499669054523,24.0,0.0010845830038306303,22.0,0.0016234169961535372,24.0,0.023922000000311527,22.0,0.10213125000154832,24.0,0,0.9166666666666666
erdos_renyi,20,9,25,20,25,0.13157894736842105,2.5,5,1,1.118033988749895,0.03833333333333333,7,3.1157894736842104,0.18246333315370364,6.619835331922972,0.18246333315370364,3.079291503503355,-2.7751765481368342,1,9.0,0.00036675000592367724,22.0,0.00043591699795797467,23.0,0.0006858330016257241,23.0,0.029649791998963337,23.0,0.09168891700392123,23.0,0,1.0
erdos_renyi,20,10,39,20,39,0.20526315789473684,3.9,6,1,1.2609520212918492,0.1,4,2.205263157894737,0.7070445401399851,8.446557370178759,0.7070445401399851,4.338155056311934,-3.5813491026002393,1,14.0,0.0003343339994898997,35.0,0.0005124999952386133,35.0,0.0006926249989192002,35.0,0.018179917002271395,35.0,0.08286466699792072,35.0,0,1.0
erdos_renyi,20,11,23,20,23,0.12105263157894737,2.3,4,1,0.9539392014169458,0.06666666666666667,7,3.405263157894737,0.16503701219973316,5.7037283900999585,0.16503701219973316,2.7556860065469455,-2.511188232906306,1,10.0,0.0004044579982291907,17.0,0.0003522080005495809,21.0,0.0008326250026584603,22.0,0.027298208995489404,21.0,0.08078137499978766,22.0,0,0.9545454545454546
erdos_renyi,20,12,34,20,34,0.17894736842105263,3.4,6,1,1.4966629547095764,0.06666666666666667,5,2.4105263157894736,0.4712790508584422,8.120163432543139,0.4712790508584422,4.093877087977313,-3.1580857676919605,1,18.0,0.0003582500066841021,27.0,0.0004641250052372925,29.0,0.0010824589990079403,29.0,0.02155983299599029,29.0,0.07756983299623244,29.0,0,1.0
erdos_renyi,20,13,25,20,25,0.13157894736842105,2.5,6,1,1.2449899597988732,0.11166666666666666,7,3.1315789473684212,0.16953657350606124,7.394636251334349,0.16953657350606124,3.190590499161684,-2.729505914291682,1,10.0,0.0002848330041160807,21.0,0.0003193750017089769,20.0,0.0005874999988009222,23.0,0.031858041998930275,22.0,0.09219908399973065,23.0,0,0.9565217391304348
erdos_renyi,20,14,28,20,28,0.14736842105263157,2.8,5,1,1.3266499161421599,0.11833333333333333,6,2.9210526315789473,0.1555549213077602,6.975772610984077,0.1555549213077602,3.5625116444341662,-2.62118044502692,1,16.0,0.00031404099718201905,23.0,0.00033062500006053597,22.0,0.0006460000004153699,23.0,0.036112959001911804,22.0,0.09852887500164798,23.0,0,0.9565217391304348
erdos_renyi,20,15,31,20,31,0.1631578947368421,3.1,6,1,1.4106735979665883,0.0,5,2.457894736842105,0.5377593599500745,7.846489224619917,0.5377593599500745,3.6394869412952566,-3.207801904603386,1,19.0,0.00033475000236649066,22.0,0.0003337500020279549,26.0,0.0007017919997451827,28.0,0.031960457999957725,27.0,0.1052098330037552,28.0,0,0.9642857142857143
erdos_renyi,20,16,30,20,30,0.15789473684210525,3.0,8,1,1.5811388300841898,0.20023809523809524,5,2.526315789473684,0.3579396423329934,9.285167735262887,0.3579396423329934,3.7413893092573116,-3.032216729680516,1,15.0,0.0003676249980344437,24.0,0.00043195799662498757,25.0,0.0008748750042286702,25.0,0.02767716699599987,25.0,0.10490170900447993,25.0,0,1.0
erdos_renyi,20,17,30,20,30,0.15789473684210525,3.0,7,1,1.51657508881031,0.21404761904761904,6,2.7736842105263158,0.3170397604019293,8.526490329487185,0.3170397604019293,3.764467462441667,-3.160580653353984,1,15.0,0.0016082500005722977,25.0,0.000898915997822769,25.0,0.0012430839997250587,25.0,0.04164912499982165,25.0,0.12516879200120457,25.0,0,1.0
erdos_renyi,20,18,25,20,25,0.13157894736842105,2.5,6,1,1.5329709716755893,0.08333333333333334,8,3.194736842105263,0.14669287607769074,7.7513466314429476,0.14669287607769074,3.431149367811625,-2.981873922029623,1,13.0,0.0003068330042879097,21.0,0.0003228330024285242,23.0,0.0005640419985866174,23.0,0.027483582998684142,23.0,0.09324216700042598,23.0,0,1.0
erdos_renyi,20,19,25,20,25,0.13157894736842105,2.5,5,1,1.284523257866513,0.14333333333333334,8,3.1894736842105265,0.1443875833667076,6.9300206822354875,0.1443875833667076,3.1167796632245497,-2.8979691614955705,1,7.0,0.00034174999746028334,23.0,0.0004120410012546927,23.0,0.0007442499991157092,23.0,0.03071641700080363,23.0,0.09415529100078857,23.0,0,1.0
erdos_renyi,20,20,29,20,29,0.15263157894736842,2.9,8,1,1.9209372712298547,0.20666666666666664,5,2.536842105263158,0.318301999461033,9.244858002414963,0.318301999461033,3.8955019931394568,-3.117139585140781,1,13.0,0.0008797500049695373,21.0,0.0009308340013376437,25.0,0.0013035829979344271,25.0,0.04581612499896437,25.0,0.11326820800604764,25.0,0,1.0
erdos_renyi,20,21,26,20,26,0.1368421052631579,2.6,4,1,1.0677078252031311,0.0,6,2.973684210526316,0.26092930257951963,6.5395276175915145,0.26092930257951963,3.1165090385068814,-2.913924268183619,1,16.0,0.0003915409979526885,22.0,0.0005228329973760992,23.0,0.0012730839953292161,23.0,0.02564337499643443,23.0,0.10066745799849741,23.0,0,1.0
erdos_renyi,20,22,31,20,31,0.1631578947368421,3.1,7,1,1.5459624833740309,0.12476190476190477,7,2.768421052631579,0.2525188898743188,8.614487174072009,0.2525188898743188,4.017984648803635,-2.9624004900253693,1,15.0,0.00030737500492250547,24.0,0.0003349590042489581,25.0,0.0006042079985491,25.0,0.023460333999537397,25.0,0.08716362500126706,25.0,0,1.0
erdos_renyi,20,23,30,20,30,0.15789473684210525,3.0,7,1,1.5811388300841898,0.30476190476190473,5,2.5105263157894737,0.4541513282435279,8.487232961945233,0.4541513282435279,3.8621674465498748,-2.7226479227791973,1,16.0,0.0005003749975003302,22.0,0.00043662500684149563,23.0,0.0009545840002829209,24.0,0.02086816699738847,23.0,0.08869533299730392,24.0,0,0.9583333333333334
erdos_renyi,20,24,25,20,25,0.13157894736842105,2.5,5,1,1.284523257866513,0.03,7,3.094736842105263,0.17956100324299715,7.276971547424523,0.17956100324299715,3.264184901957979,-3.0992080190895095,1,18.0,0.0006627090042456985,24.0,0.0005500420011230744,23.0,0.0007993330000317656,24.0,0.02542916699894704,23.0,0.09689116600202397,24.0,0,0.9583333333333334
erdos_renyi,20,25,25,20,25,0.13157894736842105,2.5,6,1,1.3601470508735443,0.10833333333333332,7,2.9842105263157896,0.20525354858656014,7.259748977729208,0.20525354858656014,3.1761890034061846,-2.700176430508009,1,11.0,0.0005988750053802505,21.0,0.0005734160004067235,22.0,0.0008800830037216656,22.0,0.16278604199760593,22.0,0.12399041699973168,22.0,0,1.0
