family,n,instance,m,prop_n,prop_m,prop_density,prop_avg_degree,prop_max_degree,prop_min_degree,prop_degree_std,prop_clustering_coeff,prop_diameter,prop_avg_path_length,prop_spectral_gap,prop_lambda_max_laplacian,prop_algebraic_connectivity,prop_spectral_radius,prop_lambda_min_adj,prop_n_components,random_cut,random_time,greedy_cut,greedy_time,spectral_cut,spectral_time,gw_cut,gw_time,gw_fallback,gnn_cut,gnn_time,best_classical_cut,gnn_wins,gnn_ties
erdos_renyi,20,0,32,20,32,0.16842105263157894,3.2,7,1,1.469693845669907,0.045714285714285714,5,2.4526315789473685,0.33989945301743735,8.596297879004133,0.33989945301743735,3.912773393401629,-3.164619013341015,1,15.0,0.0010154590709134936,28.0,0.0019265000009909272,27.0,0.0023649591021239758,28.0,0.07664604089222848,False,28.0,0.07829337497241795,28.0,0,1
erdos_renyi,20,1,26,20,26,0.1368421052631579,2.6,4,1,1.1135528725660044,0.041666666666666664,6,2.8842105263157896,0.2972624174755862,6.413954222066517,0.2972624174755862,3.1555053871870693,-2.8018220932065323,1,12.0,0.0008420420344918966,21.0,0.0010573751060292125,23.0,0.0017181249568238854,24.0,0.050865708966739476,False,23.0,0.10532291699200869,24.0,0,0
erdos_renyi,20,2,23,20,23,0.12105263157894737,2.3,5,1,1.1445523142259597,0.0,7,3.1894736842105265,0.19901982447429273,6.764184650807494,0.19901982447429273,2.9964450238552187,-2.8117137655631708,1,13.0,0.0005189999938011169,18.0,0.0005401669768616557,21.0,0.0010501670185476542,21.0,0.040845541981980205,False,21.0,0.0764535830821842,21.0,0,1
erdos_renyi,20,3,25,20,25,0.13157894736842105,2.5,5,1,1.118033988749895,0.09666666666666666,8,3.2736842105263158,0.1178254393630613,6.56040446373521,0.1178254393630613,3.1487597687876985,-2.7225007764801656,1,10.0,0.0007140840170904994,16.0,0.0005682089831680059,23.0,0.0011406249832361937,23.0,0.051533374935388565,False,23.0,0.1074236249551177,23.0,0,1
erdos_renyi,20,4,39,20,39,0.20526315789473684,3.9,8,1,1.8681541692269403,0.15571428571428572,4,2.231578947368421,0.5365609013826239,9.579073609232326,0.5365609013826239,4.909201801455719,-3.102263338913311,1,18.0,0.0005650829989463091,29.0,0.0007110829465091228,31.0,0.0011837499914690852,32.0,0.03857370896730572,False,30.0,0.07708283397369087,32.0,0,0
erdos_renyi,20,5,31,20,31,0.1631578947368421,3.1,7,1,1.5132745950421556,0.0680952380952381,5,2.542105263157895,0.4261394309223508,8.373261108886924,0.4261394309223508,3.885838894455283,-3.004933441235395,1,18.0,0.000549374963156879,24.0,0.0007029171101748943,25.0,0.00228283298201859,27.0,0.050159167032688856,False,26.0,0.08591858297586441,27.0,0,0
erdos_renyi,20,6,31,20,31,0.1631578947368421,3.1,6,1,1.1789826122551597,0.17166666666666666,5,2.5157894736842104,0.5517444714846861,7.825764393543361,0.5517444714846861,3.552140615865183,-3.04986041074384,1,15.0,0.0004116670461371541,25.0,0.0006325830472633243,25.0,0.0010411670664325356,27.0,0.028080917079932988,False,27.0,0.08761504094582051,27.0,0,1
erdos_renyi,20,7,29,20,29,0.15263157894736842,2.9,5,1,1.3,0.10833333333333332,6,2.7263157894736842,0.35601998638139715,7.2676353984930016,0.35601998638139715,3.631673450897035,-3.0647681923231125,1,15.0,0.0005655839340761304,25.0,0.0007523340173065662,25.0,0.002140624914318323,25.0,0.04202974995132536,False,25.0,0.0831830829847604,25.0,0,1
erdos_renyi,20,8,35,20,35,0.18421052631578946,3.5,5,2,0.9219544457292888,0.08666666666666667,4,2.3,0.8309409439374136,7.3852859694493445,0.8309409439374136,3.771270936262649,-3.0864155667667026,1,15.0,0.00043720798566937447,30.0,0.0006530840182676911,29.0,0.001052167033776641,30.0,0.034603290958330035,False,29.0,0.09058937500230968,30.0,0,0
erdos_renyi,20,9,27,20,27,0.14210526315789473,2.7,5,1,1.452583904633395,0.12,7,2.8947368421052633,0.20446868813391653,7.0350130514836975,0.20446868813391653,3.4870310452137745,-2.8145869159147723,1,6.0,0.00042220798786729574,23.0,0.00045245897490531206,23.0,0.0016477499157190323,23.0,0.03466979099903256,False,22.0,0.08306266600266099,23.0,0,0
erdos_renyi,20,10,27,20,27,0.14210526315789473,2.7,5,1,1.2288205727444508,0.08833333333333333,7,2.931578947368421,0.1428556902292024,7.052723812376622,0.1428556902292024,3.3456635409301434,-2.8015706486106158,1,14.0,0.0005429999437183142,21.0,0.0005833749892190099,24.0,0.0016862499760463834,24.0,0.037961166934110224,False,24.0,0.07943337503820658,24.0,0,1
erdos_renyi,20,11,35,20,35,0.18421052631578946,3.5,7,1,1.5,0.14119047619047617,5,2.357894736842105,0.5163675969462631,8.417345741246962,0.5163675969462631,4.180621194595384,-3.3087727608853643,1,18.0,0.0006267920834943652,26.0,0.0009487079223617911,27.0,0.0014034579508006573,31.0,0.029474791954271495,False,31.0,0.08900758298113942,31.0,0,1
erdos_renyi,20,12,28,20,28,0.14736842105263157,2.8,5,1,1.2489995996796797,0.10500000000000001,7,2.9263157894736844,0.23639625294581995,6.890246137735354,0.23639625294581995,3.6132347443529502,-2.8942147215717116,1,17.0,0.00048329192213714123,21.0,0.0005082919960841537,24.0,0.0012239590287208557,24.0,0.03427733399439603,False,24.0,0.08282758295536041,24.0,0,1
erdos_renyi,20,13,27,20,27,0.14210526315789473,2.7,5,1,1.2288205727444508,0.06833333333333333,6,2.857894736842105,0.26250763268692234,7.007371879039653,0.26250763268692234,3.3301227119877117,-2.7045005920580523,1,12.0,0.0006980840116739273,22.0,0.0008265419164672494,23.0,0.003300959011539817,24.0,0.0580870839767158,False,22.0,0.18888691696338356,24.0,0,0
erdos_renyi,20,14,27,20,27,0.14210526315789473,2.7,6,1,1.2688577540449522,0.2,6,2.889473684210526,0.23544584127312704,7.372071565719052,0.23544584127312704,3.360703933675821,-2.6480285879658694,1,16.0,0.0009298749500885606,20.0,0.0011214580154046416,24.0,0.0035170409828424454,24.0,0.044544334057718515,False,24.0,0.10678675002418458,24.0,0,1
erdos_renyi,20,15,24,20,24,0.12631578947368421,2.4,5,1,1.2000000000000002,0.06333333333333332,7,3.094736842105263,0.20691986276376467,6.603826102313814,0.20691986276376467,3.002210041937304,-2.6225652664925865,1,12.0,0.001514999894425273,19.0,0.00415429100394249,22.0,0.0022644168930128217,22.0,0.05896866705734283,False,20.0,0.12283354194369167,22.0,0,0
erdos_renyi,20,16,21,20,21,0.11052631578947368,2.1,5,1,1.1357816691600546,0.0,9,3.7736842105263158,0.0857976162139189,6.554351058347386,0.0857976162139189,2.7626128378509693,-2.710186837744141,1,13.0,0.0008360419888049364,20.0,0.0007162080146372318,20.0,0.0018067499622702599,20.0,0.05825566698331386,False,20.0,0.08830820897128433,20.0,0,1
erdos_renyi,20,17,27,20,27,0.14210526315789473,2.7,7,1,1.676305461424021,0.028095238095238097,7,2.9210526315789473,0.180144855667849,8.504931409441337,0.180144855667849,3.8146669143051906,-3.315438707485302,1,16.0,0.0006213750457391143,22.0,0.0005936670349910855,26.0,0.0021817079978063703,26.0,0.03290574997663498,False,24.0,0.08695200004149228,26.0,0,0
erdos_renyi,20,18,33,20,33,0.1736842105263158,3.3,6,1,1.3076696830622019,0.24499999999999997,5,2.531578947368421,0.4123803182997448,7.577781442039255,0.4123803182997448,3.7582113393191725,-2.9142744938569454,1,14.0,0.0006050000665709376,24.0,0.0028802499873563647,26.0,0.0017667909851297736,27.0,0.03772520902566612,False,26.0,0.10539875004906207,27.0,0,0
erdos_renyi,20,19,28,20,28,0.14736842105263157,2.8,7,1,1.5684387141358123,0.08404761904761905,6,2.778947368421053,0.27531179156102686,8.622886302254894,0.27531179156102686,3.7127399644523225,-3.18170543476181,1,16.0,0.00046295905485749245,21.0,0.0007031250279396772,24.0,0.002516041975468397,24.0,0.04920362506527454,False,24.0,0.08390154200606048,24.0,0,1
erdos_renyi,20,20,33,20,33,0.1736842105263158,3.3,7,1,1.584297951775486,0.24357142857142855,5,2.4894736842105263,0.45117494267642627,8.288771035551157,0.45117494267642627,4.163509123717764,-2.803475708262235,1,20.0,0.001228832988999784,26.0,0.0009602500358596444,26.0,0.0015127089573070407,27.0,0.03419487504288554,False,27.0,0.08445395808666945,27.0,0,1
erdos_renyi,20,21,36,20,36,0.18947368421052632,3.6,6,1,1.4628738838327793,0.1983333333333333,4,2.263157894736842,0.7015520322876406,7.991806927902866,0.7015520322876406,4.188290321361666,-3.1336477466537254,1,14.0,0.000824208022095263,27.0,0.001613624976016581,30.0,0.004413250018842518,30.0,0.0414394160034135,False,30.0,0.11866312497295439,30.0,0,1
erdos_renyi,20,22,39,20,39,0.20526315789473684,3.9,7,1,1.8411952639521971,0.18785714285714286,5,2.2421052631578946,0.7002079837956116,8.89924639349639,0.7002079837956116,4.6837188030952,-3.4279687125701837,1,19.0,0.0012317090295255184,27.0,0.0007432500133290887,32.0,0.001301458920352161,32.0,0.03976195806171745,False,32.0,0.08531079103704542,32.0,0,1
erdos_renyi,20,23,30,20,30,0.15789473684210525,3.0,5,1,1.0488088481701516,0.09666666666666666,6,2.731578947368421,0.2496275399120398,7.122597641066506,0.2496275399120398,3.4302680279036792,-3.0125020717646747,1,13.0,0.00044454203452914953,24.0,0.0004725410835817456,25.0,0.0015718330396339297,26.0,0.0460792500525713,False,26.0,0.16027562494855374,26.0,0,1
erdos_renyi,20,24,31,20,31,0.1631578947368421,3.1,9,1,1.786057109949175,0.15583333333333332,5,2.442105263157895,0.4754454284410821,10.276572218490879,0.4754454284410821,4.010959605108202,-3.366133977296914,1,15.0,0.0012566250516101718,24.0,0.001137209008447826,27.0,0.001490791910327971,27.0,0.07583991589490324,False,27.0,0.13387841591611505,27.0,0,1
erdos_renyi,20,25,21,20,21,0.11052631578947368,2.1,4,1,0.9433981132056604,0.075,10,4.1421052631578945,0.0682146031549687,5.502246340248195,0.0682146031549687,2.6124407799363034,-2.4185230956078065,1,11.0,0.0005584160098806024,18.0,0.0004681249847635627,20.0,0.0012203329242765903,20.0,0.04324808297678828,False,20.0,0.07557429105509073,20.0,0,1
erdos_renyi,20,26,31,20,31,0.1631578947368421,3.1,6,1,1.445683229480096,0.13833333333333334,6,2.6894736842105265,0.2629104499095502,7.4315966903230155,0.2629104499095502,4.04255530687532,-2.6959599788072435,1,16.0,0.0005046660080552101,23.0,0.0011896250071004033,26.0,0.003989624907262623,26.0,0.05715400003828108,False,25.0,0.15196241706144065,26.0,0,0
erdos_renyi,20,27,32,20,32,0.16842105263157894,3.2,6,1,1.5999999999999999,0.06999999999999999,5,2.463157894736842,0.4450425800903451,7.699846341744394,0.4450425800903451,4.012491123776112,-2.9262309318199677,1,14.0,0.0005392910679802299,24.0,0.0017536249943077564,26.0,0.0019373330287635326,27.0,0.04865870892535895,False,26.0,0.1214949160348624,27.0,0,0
erdos_renyi,20,28,24,20,24,0.12631578947368421,2.4,6,1,1.3928388277184118,0.07166666666666667,8,3.3210526315789473,0.09175976705998358,7.293468810439275,0.09175976705998358,3.1969466690394257,-2.7845782862892445,1,8.0,0.001393540995195508,21.0,0.0025608749128878117,22.0,0.008001500042155385,22.0,0.05461783392820507,False,22.0,0.07933595799840987,22.0,0,1
erdos_renyi,20,29,25,20,25,0.13157894736842105,2.5,5,1,1.4317821063276353,0.06333333333333332,6,2.8947368421052633,0.22607788019878716,7.0631046192954585,0.22607788019878716,3.2377847900902266,-3.0228358541173925,1,14.0,0.0004231249913573265,20.0,0.0004977090284228325,24.0,0.0010419579921290278,24.0,0.04528708301950246,False,24.0,0.07263483304996043,24.0,0,1
erdos_renyi,50,0,180,50,180,0.1469387755102041,7.2,12,3,2.172556098240043,0.13907215007215007,4,2.130612244897959,2.2384267554571937,14.316043027127897,2.2384267554571937,7.836142102473763,-4.611639047116229,1,79.0,0.0007175420178100467,124.0,0.0026276250137016177,126.0,0.0030141669558361173,133.0,0.16512470797169954,False,132.0,0.11684741696808487,133.0,0,0
erdos_renyi,50,1,173,50,173,0.14122448979591837,6.92,13,3,2.3395726105423615,0.14467321567321567,4,2.1853061224489796,1.835567052059906,15.17230441935595,1.835567052059906,7.7241697056081,-4.708171312316859,1,83.0,0.0006099590100347996,122.0,0.001680999994277954,126.0,0.005810332950204611,127.0,0.15587866702117026,False,127.0,0.11484683293383569,127.0,0,1
