family,n,instance,m,density,avg_degree,max_degree,min_degree,degree_std,clustering_coeff,diameter,avg_path_length,spectral_gap,lambda_max_laplacian,algebraic_connectivity,spectral_radius,lambda_min_adj,n_components,greedy_colors,greedy_time,welsh_powell_colors,welsh_powell_time,dsatur_colors,dsatur_time,dsatur_valid,gnn_colors,gnn_time,gnn_valid,best_classical,gnn_wins
erdos_renyi,20,0,31,0.1631578947368421,3.1,6,1,1.5459624833740306,0.08,5,2.5210526315789474,0.24844280797441848,7.83082527604693,0.24844280797441848,3.9167849668940127,-2.982245898529255,1,4,0.0003916660789400339,4,3.2125040888786316e-05,3,0.00013183406554162502,True,20,0.0014537088572978973,True,3,0
erdos_renyi,20,1,21,0.11052631578947368,2.1,6,1,1.4798648586948742,0.075,6,3.0842105263157893,0.11901912125561383,7.512166386907762,0.11901912125561383,2.935975334370146,-2.8186559302751926,1,4,0.00018787500448524952,3,2.1791085600852966e-05,3,0.00010958407074213028,True,17,0.000940707977861166,True,3,0
erdos_renyi,20,2,25,0.13157894736842105,2.5,5,1,1.2041594578792296,0.21000000000000002,9,3.7,0.0777185512971404,7.030589751306401,0.0777185512971404,3.2710504263194857,-2.8027885224546494,1,3,0.0001771249808371067,3,2.1042069420218468e-05,3,0.0001116250641644001,True,20,0.0009449999779462814,True,3,0
erdos_renyi,20,3,27,0.14210526315789473,2.7,6,1,1.5524174696260025,0.045,6,2.857894736842105,0.18343755989569643,8.150034561218362,0.18343755989569643,3.669807155474343,-3.181271212429404,1,3,0.00017445813864469528,3,2.0458828657865524e-05,3,0.00010791700333356857,True,20,0.0009232501033693552,True,3,0
erdos_renyi,20,4,37,0.19473684210526315,3.7,9,1,1.76351920885484,0.255,6,2.3473684210526318,0.4221608619528478,10.25772314226098,0.4221608619528478,4.586048107160339,-3.004442020459692,1,4,0.00017366698011755943,4,2.133287489414215e-05,4,0.00011266604997217655,True,20,0.0009857499971985817,True,4,0
erdos_renyi,20,5,22,0.11578947368421053,2.2,4,1,1.0770329614269007,0.03333333333333333,9,3.8526315789473684,0.07354443976710111,5.766296531879128,0.07354443976710111,2.816407266697177,-2.557235946895117,1,3,0.00018366612493991852,3,2.0792009308934212e-05,3,0.00010766694322228432,True,17,0.001007291954010725,True,3,0
erdos_renyi,20,6,39,0.20526315789473684,3.9,6,2,1.2609520212918492,0.18833333333333332,4,2.1736842105263157,0.871697074058009,8.04965692826858,0.871697074058009,4.328914586028832,-3.346491716130298,1,4,0.0001762921456247568,4,2.237502485513687e-05,4,0.00011437502689659595,True,20,0.00103358319029212,True,4,0
erdos_renyi,20,7,30,0.15789473684210525,3.0,7,1,1.70293863659264,0.25476190476190474,6,2.594736842105263,0.29567132563836407,8.766509802152063,0.29567132563836407,3.8437997390361565,-3.366845843489988,1,4,0.00017695780843496323,3,2.1124957129359245e-05,3,0.0001091670710593462,True,20,0.0009372499771416187,True,3,0
erdos_renyi,20,8,27,0.14210526315789473,2.7,6,1,1.2688577540449522,0.09333333333333334,7,2.973684210526316,0.16785258817584908,7.272907531711997,0.16785258817584908,3.5255423834769033,-2.667923508575566,1,4,0.0001742909662425518,3,1.9834144040942192e-05,3,0.00010737497359514236,True,18,0.0009622909128665924,True,3,0
erdos_renyi,20,9,21,0.11052631578947368,2.1,5,1,1.0908712114635715,0.03,10,4.026315789473684,0.0732407252343339,6.25896044581541,0.0732407252343339,2.8112837398950528,-2.2946750547081547,1,4,0.00017141690477728844,3,1.8750084564089775e-05,3,0.00010608299635350704,True,17,0.000987666891887784,True,3,0
erdos_renyi,20,10,24,0.12631578947368421,2.4,4,1,1.1135528725660047,0.075,7,3.5105263157894737,0.09842251595358659,5.749791709512228,0.09842251595358659,2.951954025240873,-2.422506837856475,1,4,0.00017195893451571465,3,1.941714435815811e-05,3,0.00010616704821586609,True,20,0.000956500181928277,True,3,0
erdos_renyi,20,11,28,0.14736842105263157,2.8,5,1,1.1224972160321824,0.39,8,3.642105263157895,0.0900768950942951,6.437251769979147,0.0900768950942951,3.651639636973004,-2.20786499815712,1,4,0.00017304089851677418,3,2.0875129848718643e-05,3,0.00010924995876848698,True,20,0.000977375078946352,True,3,0
erdos_renyi,20,12,39,0.20526315789473684,3.9,10,2,2.364318083507378,0.2978174603174603,4,2.168421052631579,0.7736904367253192,11.197219920384736,0.7736904367253192,5.312606017520855,-3.345581440083395,1,5,0.00017366698011755943,4,2.2374792024493217e-05,4,0.00011124997399747372,True,20,0.0010149581357836723,True,4,0
erdos_renyi,20,13,28,0.14736842105263157,2.8,6,1,1.2884098726725126,0.35333333333333333,7,3.305263157894737,0.10475537471098625,7.62041240569492,0.10475537471098625,3.643340813095079,-2.8499701435323095,1,4,0.00017229211516678333,3,2.0832987502217293e-05,3,0.00010970910079777241,True,20,0.0009201669599860907,True,3,0
erdos_renyi,20,14,26,0.1368421052631579,2.6,6,1,1.2806248474865698,0.13666666666666666,6,2.9842105263157896,0.2687556746097009,7.44143031402969,0.2687556746097009,3.3333427055257085,-2.798103118423002,1,4,0.00016958313062787056,3,1.9999919459223747e-05,3,0.00010712491348385811,True,17,0.0009281251113861799,True,3,0
erdos_renyi,20,15,23,0.12105263157894737,2.3,4,1,1.004987562112089,0.0,7,3.163157894736842,0.1966457174452201,6.103172909347027,0.1966457174452201,2.779343100531664,-2.580280085774721,1,3,0.00016999989748001099,3,1.9875122234225273e-05,3,0.00010733306407928467,True,20,0.0009544591885060072,True,3,0
erdos_renyi,20,16,30,0.15789473684210525,3.0,7,1,1.51657508881031,0.03404761904761905,6,2.5473684210526315,0.4083447499396053,8.665498942402772,0.4083447499396053,3.780009691393304,-3.3581509019489237,1,3,0.00017562485300004482,3,2.095801755785942e-05,3,0.00011170795187354088,True,20,0.0009807499591261148,True,3,0
erdos_renyi,20,17,23,0.12105263157894737,2.3,4,1,0.9539392014169458,0.041666666666666664,8,3.6157894736842104,0.10682331942324448,6.030891601424409,0.10682331942324448,2.878132899520756,-2.5985589604273747,1,3,0.00017920811660587788,3,2.050003968179226e-05,3,0.00010862480849027634,True,17,0.0009827089961618185,True,3,0
erdos_renyi,20,18,26,0.1368421052631579,2.6,5,1,1.2806248474865698,0.05499999999999999,7,3.0157894736842104,0.17147089903146204,6.714043703095333,0.17147089903146204,3.390883128326932,-2.6841210963618254,1,4,0.00017629191279411316,3,2.1124957129359245e-05,3,0.00011029094457626343,True,20,0.000939834164455533,True,3,0
erdos_renyi,20,19,27,0.14210526315789473,2.7,6,1,1.3076696830622019,0.07833333333333334,6,2.8842105263157896,0.2680442061976163,7.516397651851314,0.2680442061976163,3.5428114328901645,-2.741520907051658,1,4,0.00018787500448524952,3,2.2791093215346336e-05,3,0.00011154217645525932,True,18,0.0009831669740378857,True,3,0
erdos_renyi,20,20,35,0.18421052631578946,3.5,6,1,1.3228756555322954,0.09333333333333334,6,2.3684210526315788,0.5133370414977116,8.226990954041828,0.5133370414977116,4.103800870032845,-3.0276290676448814,1,4,0.0001793750561773777,4,2.2500054910779e-05,3,0.00011212495155632496,True,20,0.000967124942690134,True,3,0
erdos_renyi,20,21,24,0.12631578947368421,2.4,5,1,1.019803902718557,0.03333333333333333,10,3.8789473684210525,0.06588094434122375,6.62594726850943,0.06588094434122375,3.063004106694038,-2.6847562262380245,1,3,0.00017179199494421482,3,1.9916798919439316e-05,3,0.00010729208588600159,True,16,0.0009651670698076487,True,3,0
erdos_renyi,20,22,38,0.2,3.8,6,2,1.469693845669907,0.255,5,2.3789473684210525,0.5451190137745038,8.281892179254207,0.5451190137745038,4.676637977177005,-2.7762755055991177,1,4,0.00017329188995063305,4,2.3167114704847336e-05,4,0.00011624977923929691,True,20,0.000989292049780488,True,4,0
erdos_renyi,20,23,26,0.1368421052631579,2.6,6,1,1.3564659966250536,0.3516666666666667,7,3.2578947368421054,0.1167617079651572,7.183822979321966,0.1167617079651572,3.2077511705220156,-2.5920380931292453,1,4,0.00017095799557864666,3,2.0750099793076515e-05,3,0.00010812492109835148,True,20,0.000961249927058816,True,3,0
erdos_renyi,20,24,37,0.19473684210526315,3.7,9,1,2.027313493271329,0.19,4,2.2578947368421054,0.5808374325026049,10.379372891178125,0.5808374325026049,4.879982103822824,-3.219324267647338,1,5,0.0001805000938475132,3,2.258317545056343e-05,3,0.00011454196646809578,True,20,0.0009917498100548983,True,3,0
erdos_renyi,20,25,27,0.14210526315789473,2.7,6,1,1.2688577540449522,0.13,5,2.778947368421053,0.341244262856427,7.4673033230510155,0.341244262856427,3.4017831967215995,-2.6912953714291072,1,3,0.00017395801842212677,3,2.074986696243286e-05,3,0.00011083297431468964,True,20,0.0009482500609010458,True,3,0
erdos_renyi,20,26,32,0.16842105263157894,3.2,5,2,0.9273618495495703,0.27999999999999997,6,2.610526315789474,0.3875328132587321,7.000170937135615,0.3875328132587321,3.5236942673641867,-2.892736361089145,1,4,0.00018008379265666008,3,2.2249994799494743e-05,3,0.00011199992150068283,True,20,0.000971833011135459,True,3,0
erdos_renyi,20,27,32,0.16842105263157894,3.2,6,1,1.4352700094407325,0.12166666666666666,5,2.4,0.5318545152102114,7.748628200229776,0.5318545152102114,3.7564129310834202,-3.11924239463784,1,4,0.00017104181461036205,3,2.1750107407569885e-05,3,0.0001115831546485424,True,20,0.0009639579802751541,True,3,0
erdos_renyi,20,28,24,0.12631578947368421,2.4,5,1,1.1135528725660044,0.0,6,2.9842105263157896,0.2219251771939188,6.352779481868814,0.2219251771939188,2.8857603496203805,-2.5207481141635295,1,3,0.00017145788297057152,3,2.0165927708148956e-05,3,0.00010841712355613708,True,17,0.0009631249122321606,True,3,0
erdos_renyi,20,29,22,0.11578947368421053,2.2,6,1,1.3266499161421599,0.03666666666666667,8,3.3789473684210525,0.11307285086937312,7.277632912759621,0.11307285086937312,3.068402689780551,-2.6221920999683404,1,3,0.00017375010065734386,3,1.991703175008297e-05,3,0.00010675005614757538,True,16,0.0009253339376300573,True,3,0
