epoch,avg_loss
1,0.5305326039853849
2,0.4269340438278098
3,0.4002627848010314
4,0.38514358981659536
5,0.3745453710618772
6,0.3665381834695214
7,0.3587336202985362
8,0.34685275899736506
9,0.3404743647889087
10,0.33140787795970317
11,0.32013293512557683
12,0.3144654435546775
13,0.3001747594067925
14,0.2910363505545415
15,0.28210243190589707
16,0.2689346039765759
17,0.25733668710056107
18,0.25506267382910375
19,0.24126485343042173
20,0.23581722221876444
21,0.2117198388043203
22,0.20483128216705823
23,0.1962304958387425
24,0.1877128926939086
25,0.176303589030316
26,0.16294872996054197
27,0.15304260936222577
28,0.1459470946145685
29,0.12684663130264534
30,0.1265935984097029
31,0.11880647567541976
32,0.10819342830463459
33,0.09819157480409271
34,0.09506946557054394
35,0.08574104514953337
36,0.08755539730191231
37,0.07657323738462046
38,0.07369535837910678
39,0.0712053858135876
40,0.07757316617981384
41,0.05993592592054292
42,0.05329721744515394
43,0.05613404188893343
44,0.04952376600550978
45,0.05726814961158916
46,0.04925227317174798
47,0.04576336264022087
48,0.04549718873673364
49,0.04296535268229874
50,0.03769049974844644
51,0.04043571572554739
52,0.041387783363461494
53,0.03856897778122833
54,0.03367828244441434
55,0.03124963742141661
56,0.0291720780445949
57,0.0328467729942579
58,0.0308978826689877
59,0.028360216412693262
60,0.033138371464845384
61,0.028665592844941114
62,0.025878902916845522
63,0.024765931633546165
64,0.029223838600477104
65,0.02714721331568925
66,0.02398037171530488
67,0.0264667180660916
68,0.025658031459897757
69,0.020497544840174287
70,0.022681912015143194
71,0.020808908500169452
72,0.016016829342238213
73,0.017320625349193028
74,0.016955043336278515
75,0.024817378787127763
76,0.022604432680006874
77,0.013755942866402237
78,0.012564445502663913
79,0.015939301872429878
80,0.01467205456605083
81,0.016324049106946115
82,0.021968691830376263
83,0.019304829588355988
84,0.01573291294717867
85,0.016712306533008814
86,0.012351425670969644
87,0.014487001628271844
88,0.011020120104627782
89,0.010268155387357661
90,0.008967614640775872
91,0.014770286954253128
92,0.01356765844761149
93,0.013131080293341688
94,0.011076618794743953
95,0.008491495088061416
96,0.008059782331417265
97,0.006845937763022161
98,0.01027470495318994
99,0.012794561944534317
100,0.010421771378452448
101,0.009771433805948809
102,0.010006752358381882
103,0.009082156644006701
104,0.010399805786284176
105,0.00858193700734869
106,0.010188247628608033
107,0.007484948235000239
108,0.008666049486859456
109,0.007135282673468617
110,0.006853246172939084
111,0.007106281510603271
112,0.006014346819076883
113,0.007310219289808485
114,0.012444282851279959
115,0.012137328161196293
116,0.007204597460498151
117,0.004649809854239912
118,0.002870021764369755
119,0.0025986039307961044
120,0.002154264992560983
121,0.0018297464216869373
122,0.0018084102728033414
123,0.0019424932627436263
124,0.0017552182844634732
125,0.0016773956953042408
126,0.0018015305469912403
127,0.0017712017083555878
128,0.0016498589602155047
129,0.0016571634199575975
130,0.0016392884396114631
131,0.0016854146777309086
132,0.0016500946589267666
133,0.0017525526473036734
134,0.0016712434101607773
135,0.001536972003553896
136,0.0015565657418176813
137,0.0016724121801656253
138,0.0016319777793174389
139,0.0018804655301210005
140,0.0017731884940746425
141,0.0017060559936285962
142,0.0016507485391852434
143,0.0014947963656212731
144,0.0015553432853936868
145,0.0014563702837365685
146,0.0013982809758951924
147,0.0014749610019958038
148,0.0015672728254446013
149,0.0016123830218451698
150,0.0015366841725105921
151,0.001491919204550198
152,0.0014189444929414957
153,0.0014179838309772957
154,0.0013719933176616905
155,0.0013913596555396094
156,0.0013803331656067474
157,0.001430239846453524
158,0.0014899738286514644
159,0.001494183871105442
160,0.0014131493108882416
161,0.0013429664899089594
162,0.0013192468721076455
163,0.0013060654958424397
164,0.001372869604462099
165,0.0013485090169189405
166,0.0013862766788262984
167,0.0014450111159596034
168,0.0014513106546138787
169,0.0014611820514035475
170,0.0014682264101171121
171,0.0014878472705899377
172,0.0015751964159024187
173,0.0014907798882440578
174,0.001479996617442674
175,0.0014775586280512997
176,0.0013716226867951551
177,0.0013822805369847245
178,0.00138079782137586
179,0.001391901522813561
180,0.0013963288643744339
181,0.0015122269228652983
182,0.001331017213296467
183,0.0013369075107843137
184,0.0013685546969817981
185,0.0013804841349299654
186,0.001414736149447555
187,0.0013786881749853677
188,0.00129498598428319
189,0.0013434788653093595
190,0.0013103549744252966
191,0.0014014871915749513
192,0.001353579825670175
193,0.0013219556328629934
194,0.0013391109070270385
195,0.0013825676927282122
196,0.0013452178978025729
197,0.0013724346553748259
198,0.0013049055841484484
199,0.0013102301019755128
200,0.001365757097789212
201,0.0014234842270094592
202,0.0013223653717384302
203,0.0012955487980817499
204,0.0012882923665529233
205,0.0012508985083083022
206,0.001290412717121638
207,0.001348907990225263
208,0.0013364450210965036
209,0.0012400507958821101
210,0.0012966124712587962
211,0.0013015121938367788
212,0.0013660929849050405
213,0.0012455519386333578
214,0.0012648096075951656
215,0.0012670177699491386
216,0.0013040848107027016
217,0.0012460862121770333
218,0.0012461474055654482
219,0.0012381998406836875
220,0.0012515705070176122
221,0.0013183767324143876
222,0.0012518177100948953
223,0.001252437410429545
224,0.0012596202873282891
225,0.001251380667853434
226,0.001233099885224108
227,0.0012894152440774058
228,0.0012889913626072246
229,0.0012154303527303885
230,0.001212830992735211
231,0.0012693021474924056
232,0.0012112037171080278
233,0.00120912480378808
234,0.0012660945744875406
235,0.0012094623181814026
236,0.0012087413897461374
237,0.0012075870410602587
238,0.0013210264426585414
239,0.0012060926531998312
240,0.0012076511836527828
241,0.0012060995160075101
242,0.001205564764572237
243,0.0012623471679226465
244,0.0013192384985215636
245,0.001205025710006387
246,0.0012621479236139222
247,0.0012049704253657087
248,0.001261687899302974
249,0.0012045871178782506
250,0.0012044541477543565
251,0.001261339481384551
252,0.0012612763008579158
253,0.001204198118126729
254,0.0012041039360850079
255,0.001204046674675546
256,0.0012610266608853156
257,0.0012038929961411334
258,0.0012038735316740425
259,0.0012038109046347688
260,0.0013747320629495096
261,0.0012037300826633374
262,0.0012035725842092927
263,0.0012605711720210053
264,0.0013175488846914767
265,0.0012035130489972577
266,0.001203397235168555
267,0.0012033742199922639
268,0.0012033357781882316
269,0.001203299634497805
270,0.001203246109502001
271,0.0012032463470835577
272,0.001203259851356626
273,0.001260209156163527
274,0.001203139642879442
275,0.0012031668522444019
276,0.0012031236941419067
277,0.0012030795461561482
278,0.0012600839458005602
279,0.001203105233056895
280,0.0012030577243924774
281,0.0012030027056174444
282,0.0012029962608901194
283,0.0012030235377910447
284,0.001203004491440209
285,0.001202941777221081
286,0.0012029256404993678
287,0.0012029446352483462
288,0.0012599386041912159
289,0.00125993311276991
290,0.0012029039902113493
291,0.001202962554268532
292,0.00120287576880616
293,0.0012028865668837266
294,0.00120291210520176
295,0.0012029528427200077
296,0.0012599924350764156
297,0.0012029049757984467
298,0.0012029032848563236
299,0.0012028984578807324
300,0.0012029060855375544
