epoch,avg_loss,val_loss
1,-0.6707607139559353,-0.7674425840377808
2,-0.7896982133388519,-0.7752609252929688
3,-0.8059660739758435,-0.8029094934463501
4,-0.8150662499315598,-0.8057181239128113
5,-0.8219281119458816,-0.8143610954284668
6,-0.8236213361515718,-0.8111847043037415
7,-0.8244975787751815,-0.8088555932044983
8,-0.8239692905369926,-0.8164086937904358
9,-0.829164115821614,-0.817879855632782
10,-0.828941822052002,-0.8143258094787598
11,-0.8306678147876964,-0.8137337565422058
12,-0.8303112790865057,-0.8135473728179932
13,-0.8321797830217025,-0.8200337886810303
14,-0.8341382619212655,-0.8191763758659363
15,-0.8355848000330084,-0.8181118965148926
16,-0.8345081315321081,-0.8199309706687927
17,-0.8321680496720707,-0.8189133405685425
18,-0.835100010913961,-0.8220580816268921
19,-0.8334568195483264,-0.8240823149681091
20,-0.8333772333229289,-0.82076495885849
21,-0.8361097486580119,-0.8196923136711121
22,-0.8375030195011812,-0.8242709040641785
23,-0.8377050476915696,-0.8222611546516418
24,-0.8374124642680673,-0.8209233283996582
25,-0.8396969051922069,-0.8233512043952942
26,-0.8408862913356108,-0.8288680911064148
27,-0.8415348933023565,-0.8267448544502258
28,-0.8401764806579141,-0.82662034034729
29,-0.8410847695434794,-0.8233038783073425
30,-0.8420074284076691,-0.8253865838050842
31,-0.8442738739883199,-0.8280227780342102
32,-0.8452061625087962,-0.8290340900421143
33,-0.8403433140586404,-0.8277668356895447
34,-0.8410114260280833,-0.8299992084503174
35,-0.8417986596331877,-0.8272663950920105
36,-0.8425838999888476,-0.8253143429756165
37,-0.8448188392555013,-0.8287829160690308
38,-0.8462704665520612,-0.8294051289558411
39,-0.846877841388478,-0.8318310379981995
40,-0.8451862019651076,-0.8313729166984558
41,-0.8454904293312746,-0.8325647115707397
42,-0.8468202317462248,-0.8320014476776123
43,-0.8481180282200084,-0.8323948979377747
44,-0.8497543580391828,-0.832962155342102
45,-0.8502222422291251,-0.8306979537010193
46,-0.8507228441098157,-0.8307135105133057
47,-0.8505929603296167,-0.8316572904586792
48,-0.8501612631713643,-0.8351765871047974
49,-0.851184161270366,-0.8309721350669861
50,-0.8509928128298592,-0.8332908749580383
51,-0.8519296067602494,-0.8346080183982849
52,-0.8519753550781923,-0.8355534076690674
53,-0.8521902824149412,-0.8355364799499512
54,-0.8525943195118624,-0.8330399394035339
55,-0.852914974969976,-0.8351128101348877
56,-0.8531593995935777,-0.834793746471405
57,-0.8533057815888349,-0.8350403904914856
58,-0.85361088198774,-0.8360196948051453
59,-0.8539024381076589,-0.8364385962486267
60,-0.8535011498367086,-0.835420548915863
61,-0.8540480557610007,-0.8350664377212524
62,-0.853980665697771,-0.8349359631538391
63,-0.8541156351566315,-0.8349237442016602
64,-0.8540988880045274,-0.8355775475502014
65,-0.8543217971044428,-0.8351396918296814
66,-0.8541426553445703,-0.8350995182991028
67,-0.854202018064611,-0.8351454138755798
68,-0.8541072764817406,-0.8351723551750183
69,-0.8541541467694675,-0.8351637125015259
70,-0.8541890277582056,-0.8351616859436035
71,-0.85408716692644,-0.8351864218711853
72,-0.854137073544895,-0.8351881504058838
73,-0.8541431164040285,-0.835169792175293
74,-0.8542432031210732,-0.8351650834083557
75,-0.8541251245666953,-0.8351585865020752
76,-0.8542861973538118,-0.835156261920929
77,-0.8541862561422235,-0.8351402282714844
78,-0.854135704391143,-0.8351297378540039
79,-0.8542424212483799,-0.8351286053657532
80,-0.8542524821618024,-0.8351255655288696
