family,n,instance,m,prop_n,prop_m,prop_density,prop_avg_degree,prop_max_degree,prop_min_degree,prop_degree_std,prop_clustering_coeff,prop_diameter,prop_avg_path_length,prop_spectral_gap,prop_lambda_max_laplacian,prop_algebraic_connectivity,prop_spectral_radius,prop_lambda_min_adj,prop_n_components,random_cut,random_time,greedy_cut,greedy_time,spectral_cut,spectral_time,gw_cut,gw_time,gnn_cut,gnn_time,best_classical_cut,gnn_wins,gnn_relative
erdos_renyi,20,0,29,20,29,0.15263157894736842,2.9,5,1,1.1357816691600546,0.026666666666666665,6,2.705263157894737,0.24227044814818732,6.9992558068371835,0.24227044814818732,3.399015109173168,-2.862584986116812,1,14.0,0.0006437909978558309,23.0,0.00028575000033015385,24.0,0.0007938749986351468,25.0,0.02572554200014565,25.0,0.05973329200060107,25.0,0,1.0
erdos_renyi,20,1,23,20,23,0.12105263157894737,2.3,5,1,1.1445523142259597,0.075,8,3.457894736842105,0.11398448184075398,6.553385309911991,0.11398448184075398,2.8905637744110178,-2.745294293809783,1,11.0,0.00016016599693102762,18.0,0.000185500000952743,22.0,0.00032587500027148053,22.0,0.012539082999865059,22.0,0.054483166997670196,22.0,0,1.0
erdos_renyi,20,2,31,20,31,0.1631578947368421,3.1,6,1,1.3000000000000003,0.09333333333333334,5,2.542105263157895,0.38842631493502505,7.6837822599207595,0.38842631493502505,3.690302028704494,-2.8841786754507854,1,16.0,0.00019587499991757795,26.0,0.00025099999766098335,26.0,0.0003942080002161674,26.0,0.01107929099816829,26.0,0.05719900000258349,26.0,0,1.0
erdos_renyi,20,3,27,20,27,0.14210526315789473,2.7,6,1,1.2288205727444508,0.25833333333333336,8,3.221052631578947,0.12123221566416832,7.179711562063314,0.12123221566416832,3.264762696100162,-2.7228133102442413,1,15.0,0.00015370899927802384,20.0,0.0002050420007435605,23.0,0.000330084003508091,23.0,0.01227770800323924,23.0,0.05360958299570484,23.0,0,1.0
erdos_renyi,20,4,30,20,30,0.15789473684210525,3.0,5,1,1.1832159566199232,0.065,8,3.168421052631579,0.1485710033681286,7.795733235343976,0.1485710033681286,3.759634100270338,-3.4748050916249142,1,16.0,0.00015474999963771552,27.0,0.00021816699882037938,28.0,0.0003482920001260936,28.0,0.010708417001296766,28.0,0.05858454200642882,28.0,0,1.0
erdos_renyi,20,5,30,20,30,0.15789473684210525,3.0,6,1,1.51657508881031,0.06166666666666667,7,2.873684210526316,0.18194145359155225,8.086998208985019,0.18194145359155225,4.039069110280627,-3.340052345338568,1,20.0,0.00029075000202283263,28.0,0.00031558299815515056,28.0,0.0004318749997764826,28.0,0.010997749996022321,28.0,0.05325675000494812,28.0,0,1.0
erdos_renyi,20,6,28,20,28,0.14736842105263157,2.8,5,2,1.0770329614269007,0.09666666666666666,6,2.8684210526315788,0.25508174004567924,7.157894056184249,0.25508174004567924,3.2790611729564025,-2.9295070600574302,1,15.0,0.00018870799976866692,24.0,0.0001919999995152466,24.0,0.00041629199404269457,25.0,0.02202170799864689,24.0,0.05699979199562222,25.0,0,0.96
erdos_renyi,20,7,29,20,29,0.15263157894736842,2.9,5,1,1.2609520212918492,0.08166666666666667,7,2.8157894736842106,0.25999050735640006,7.087719523273781,0.25999050735640006,3.6589378338064122,-2.822738919095578,1,12.0,0.00016279199917335063,22.0,0.00019425000209594145,23.0,0.0003449580035521649,25.0,0.010285500000463799,24.0,0.055872625001939014,25.0,0,0.96
erdos_renyi,20,8,28,20,28,0.14736842105263157,2.8,5,2,0.812403840463596,0.185,7,3.068421052631579,0.19566230597972809,6.57277376529263,0.19566230597972809,3.177823987715509,-2.6277248604578,1,15.0,0.00020754100114572793,24.0,0.00022124999668449163,22.0,0.0004493750020628795,24.0,0.011598541001148988,22.0,0.05751979199703783,24.0,0,0.9166666666666666
erdos_renyi,20,9,25,20,25,0.13157894736842105,2.5,5,1,1.118033988749895,0.03833333333333333,7,3.1157894736842104,0.18246333315370364,6.619835331922972,0.18246333315370364,3.079291503503355,-2.7751765481368342,1,9.0,0.00017312500131083652,22.0,0.00020487499568844214,23.0,0.00030900000274414197,23.0,0.010295542000676505,23.0,0.0552308330006781,23.0,0,1.0
