epoch,avg_loss,val_loss
1,-0.6692087597706738,-0.7560386657714844
2,-0.7758989369168001,-0.7760744094848633
3,-0.7937032930991229,-0.7994669675827026
4,-0.8070360387072844,-0.7871671915054321
5,-0.8120950495495516,-0.8065791130065918
6,-0.8232528865337372,-0.8165150880813599
7,-0.8239260578856749,-0.8139733076095581
8,-0.8251930142150206,-0.8158551454544067
9,-0.8272935660446391,-0.814652144908905
10,-0.8304044849732343,-0.8197662234306335
11,-0.8280367711011101,-0.8201766610145569
12,-0.8299786939340479,-0.8201643228530884
13,-0.8330546319484711,-0.8196578621864319
14,-0.8354454163242789,-0.8243910074234009
15,-0.8350119801128612,-0.8225823044776917
16,-0.8333556073553422,-0.8186483979225159
17,-0.833041110459496,-0.822632372379303
18,-0.8348724649232977,-0.8213633298873901
19,-0.8366576275404762,-0.8240664005279541
20,-0.8376813864006716,-0.8182700872421265
21,-0.8372447280322804,-0.8229306936264038
22,-0.834251203957726,-0.8204540610313416
23,-0.8384854635771584,-0.8254411816596985
24,-0.8355870194294873,-0.8113183975219727
25,-0.8361750595709857,-0.8258538842201233
26,-0.8385680160101723,-0.827414333820343
27,-0.8392560709925259,-0.8225014805793762
28,-0.8386077197159038,-0.8282214999198914
29,-0.8386838558842155,-0.8237515091896057
30,-0.8405729356934043,-0.8300511837005615
31,-0.8424826194258297,-0.8278535008430481
32,-0.8424665892825407,-0.8277439475059509
33,-0.8433809999157401,-0.8287450075149536
34,-0.8454919001635384,-0.8303826451301575
35,-0.8437608392799602,-0.827987790107727
36,-0.843840586788514,-0.829287052154541
37,-0.8452422040350297,-0.8300033211708069
38,-0.8455715512528139,-0.8310850858688354
39,-0.846591071170919,-0.8337766528129578
40,-0.8461962184485268,-0.8324527740478516
41,-0.8443866003962124,-0.8347792029380798
42,-0.847664508749457,-0.8325068354606628
43,-0.8486067687763887,-0.8330385684967041
44,-0.8500168709193959,-0.8343766927719116
45,-0.8465832822463092,-0.8325541615486145
46,-0.8487475409227259,-0.8335047364234924
47,-0.8494518486892476,-0.8295819163322449
48,-0.848905095282723,-0.8347303867340088
49,-0.8496288394226748,-0.8342370986938477
50,-0.8511731484357048,-0.8346734642982483
51,-0.8509899500538322,-0.8349615931510925
52,-0.8515249280368581,-0.8357557654380798
53,-0.8518971257350024,-0.8356794118881226
54,-0.8520825540318209,-0.8354188203811646
55,-0.8525271608549005,-0.8362791538238525
56,-0.8530630556976094,-0.8357524275779724
57,-0.8535166102297166,-0.8355621099472046
58,-0.8535123274606817,-0.8352974057197571
59,-0.8538872003555298,-0.8361095190048218
60,-0.8540883853155024,-0.8365732431411743
61,-0.8541422118158901,-0.8365826606750488
62,-0.8544063953792348,-0.8365353941917419
63,-0.8543697034611422,-0.8369086980819702
64,-0.854526937007904,-0.8360826969146729
65,-0.8547848813674029,-0.8363426327705383
66,-0.8546806942014133,-0.8369434475898743
67,-0.8546824350076563,-0.8367361426353455
68,-0.8546269150341258,-0.8366360664367676
69,-0.8547718893079197,-0.8369037508964539
70,-0.854827517972273,-0.8369702696800232
71,-0.8547069570597481,-0.8369830846786499
72,-0.8547858350417193,-0.8369861841201782
73,-0.854842855649836,-0.837020218372345
74,-0.8546726896482355,-0.8370261192321777
75,-0.8548415461007286,-0.8370141983032227
76,-0.8546428715481478,-0.8370005488395691
77,-0.8548676932559294,-0.8369966745376587
78,-0.8550444017438328,-0.836995005607605
79,-0.854728886309792,-0.8369923830032349
80,-0.8548242256921881,-0.8369933366775513
