epoch,avg_loss,val_loss
1,-0.6197905524780876,-0.6371623277664185
2,-0.6406896114349365,-0.6414073705673218
3,-0.6441321686694497,-0.644490122795105
4,-0.6468374551388255,-0.6464720368385315
5,-0.647813101609548,-0.6471370458602905
6,-0.6483785761030096,-0.6461794376373291
7,-0.649657150109609,-0.6488359570503235
8,-0.6497926461069208,-0.6479604244232178
9,-0.6507350279573809,-0.6506960988044739
10,-0.6522188176188553,-0.6518527269363403
11,-0.6527317344096669,-0.6509112119674683
12,-0.6533611824637965,-0.6514059901237488
13,-0.6528183221817017,-0.6516281366348267
14,-0.6534755156751264,-0.6532596945762634
15,-0.6547568973742033,-0.6528027057647705
16,-0.6554552128440455,-0.6542580723762512
17,-0.6556741773036489,-0.6537807583808899
18,-0.6558472012218676,-0.6526347398757935
19,-0.6562868482188174,-0.6541634202003479
20,-0.6565991619177032,-0.6555995941162109
21,-0.6565414217480442,-0.6550823450088501
22,-0.6570742621756437,-0.6554641723632812
23,-0.657104728514688,-0.6554215550422668
24,-0.6572653787177906,-0.65451979637146
25,-0.657466405316403,-0.6544280052185059
26,-0.6577485308312533,-0.6561459898948669
27,-0.6577262188258924,-0.654522716999054
28,-0.6576418301515412,-0.6561391949653625
29,-0.6579042317574484,-0.6559358239173889
30,-0.6580420450160378,-0.6553671360015869
31,-0.6580429328115363,-0.6557320356369019
32,-0.6582568026425546,-0.6557521820068359
33,-0.6583846797022903,-0.6567477583885193
34,-0.6587988284596226,-0.6565232276916504
35,-0.6589494504426655,-0.6561334133148193
36,-0.6588403718513355,-0.6564708948135376
37,-0.6590552288189269,-0.6566120982170105
38,-0.6587351905672174,-0.6560075283050537
39,-0.6586533314303348,-0.6563371419906616
40,-0.6588258513233118,-0.6570023894309998
41,-0.6581690761080959,-0.6574216485023499
42,-0.6587644930471453,-0.6569163799285889
43,-0.6593398274036876,-0.6569998264312744
44,-0.6594861421668738,-0.6571428775787354
45,-0.6593481124493114,-0.6560561656951904
46,-0.6593808678158543,-0.6581228971481323
47,-0.6593422732855144,-0.6582266092300415
48,-0.6594956078027424,-0.6571971774101257
49,-0.6595152135480914,-0.6573509573936462
50,-0.659784616085521,-0.6573089361190796
51,-0.6597885845000284,-0.6570483446121216
52,-0.6597228709020113,-0.6576675176620483
53,-0.6598991364763495,-0.6574497818946838
54,-0.6599100211210418,-0.6572121977806091
55,-0.6599405209223429,-0.6578701734542847
56,-0.6601435970841792,-0.6575623750686646
57,-0.6602102873618143,-0.6575609445571899
58,-0.660151715864215,-0.6578962206840515
59,-0.660221587147629,-0.6577429175376892
60,-0.6602267905285484,-0.6575687527656555
61,-0.6603070957618847,-0.6575576066970825
62,-0.6604687832949454,-0.657503068447113
63,-0.6605156994702523,-0.6576458811759949
64,-0.6604961282328555,-0.6575202941894531
65,-0.6605350166036371,-0.6580045819282532
66,-0.6604918544752556,-0.6578003764152527
67,-0.66061060052169,-0.6579834222793579
68,-0.6606922327426442,-0.658057451248169
69,-0.6606416283992299,-0.6579977869987488
70,-0.6608746114530062,-0.6580722332000732
71,-0.6608751280265942,-0.6578989028930664
72,-0.6608978007969103,-0.6579775214195251
73,-0.6610239555961207,-0.6579583287239075
74,-0.6610217983262581,-0.6579939723014832
75,-0.6610171711235716,-0.657981276512146
76,-0.661054531733195,-0.6580108404159546
77,-0.6610319990860788,-0.6579790711402893
78,-0.6610846456728483,-0.6579667925834656
79,-0.6610839806104961,-0.6579645276069641
80,-0.6612154695025662,-0.6579656600952148
