family,n,instance,m,gnn_nols,gnn_ls,sdp_bound,rand_ls
erdos_renyi,200,2,3137,37.0,1892.0,2019.153563550869,1887.0
erdos_renyi,200,3,2831,21.0,1750.0,1862.919217380044,1732.0
erdos_renyi,200,4,3034,39.0,1874.0,1972.7177192526633,1815.0
erdos_renyi,200,5,2944,30.0,1802.0,1923.6242679389752,1794.0
erdos_renyi,200,6,2997,28.0,1792.0,1951.6838702119037,1795.0
erdos_renyi,200,7,2971,17.0,1828.0,1938.2433798751076,1823.0
erdos_renyi,200,8,2912,24.0,1784.0,1904.6054345526968,1775.0
erdos_renyi,200,9,3042,28.0,1842.0,1977.9363124981965,1831.0
erdos_renyi,200,10,3006,39.0,1817.0,1962.0116432905356,1804.0
erdos_renyi,200,11,2916,29.0,1791.0,1911.554612243325,1781.0
erdos_renyi,200,12,2949,29.0,1795.0,1927.8488063663224,1755.0
erdos_renyi,200,13,2914,23.0,1776.0,1905.045711432504,1786.0
erdos_renyi,200,14,3034,32.0,1832.0,1969.9765604837417,1844.0
erdos_renyi,200,15,3007,22.0,1837.0,1951.7954524359604,1838.0
erdos_renyi,200,16,3026,24.0,1824.0,1963.6927279869883,1828.0
erdos_renyi,200,17,3072,26.0,1869.0,1986.4457123357129,1839.0
erdos_renyi,200,18,3133,37.0,1888.0,2030.8885430088967,1905.0
erdos_renyi,200,19,2997,23.0,1812.0,1957.6216239002824,1825.0
erdos_renyi,200,20,2954,40.0,1789.0,1916.6113973785564,1778.0
erdos_renyi,200,21,2842,26.0,1759.0,1867.837495120588,1751.0
erdos_renyi,200,22,2937,39.0,1772.0,1913.600528673127,1766.0
erdos_renyi,200,23,2999,30.0,1840.0,1955.4142858988464,1816.0
erdos_renyi,200,24,3047,33.0,1849.0,1978.5494637768704,1837.0
erdos_renyi,200,25,3031,35.0,1823.0,1964.038216229087,1838.0
erdos_renyi,200,26,2948,24.0,1796.0,1920.6598981051,1801.0
erdos_renyi,200,27,2953,23.0,1829.0,1930.774250328331,1799.0
erdos_renyi,200,28,2981,31.0,1800.0,1940.7241488901464,1807.0
erdos_renyi,200,29,3017,30.0,1848.0,1959.7798260586696,1856.0
planted_partition,20,0,31,4.0,25.0,26.145248354835093,25.0
planted_partition,20,1,37,7.0,26.0,30.425951142960564,25.0
planted_partition,20,2,35,1.0,28.0,29.91942552827733,29.0
planted_partition,20,3,34,1.0,26.0,29.08690211774828,27.0
planted_partition,20,4,46,1.0,34.0,35.995359585958354,31.0
planted_partition,20,5,35,1.0,25.0,28.565428000146973,25.0
planted_partition,20,6,36,3.0,27.0,29.822542934535143,26.0
planted_partition,20,7,36,3.0,28.0,29.536140299395154,26.0
planted_partition,20,8,38,4.0,26.0,29.6846732436174,25.0
planted_partition,20,9,37,3.0,28.0,30.447162201954427,27.0
planted_partition,20,10,34,1.0,27.0,28.51508417840072,25.0
planted_partition,20,11,28,2.0,22.0,24.946606168962592,20.0
planted_partition,20,12,44,5.0,33.0,35.321255310342906,30.0
planted_partition,20,13,41,5.0,29.0,32.96488299312219,29.0
planted_partition,20,14,42,1.0,31.0,32.74199497771768,28.0
planted_partition,20,15,36,2.0,29.0,30.555622093135792,28.0
planted_partition,20,16,38,1.0,26.0,31.419303161115018,25.0
planted_partition,20,17,40,7.0,26.0,32.056295877120995,31.0
planted_partition,20,18,36,2.0,26.0,30.00078059267063,28.0
planted_partition,20,19,34,1.0,25.0,28.489783151603312,26.0
planted_partition,20,20,31,4.0,24.0,26.843611585416987,22.0
planted_partition,20,21,36,3.0,26.0,30.297625285634844,26.0
planted_partition,20,22,41,2.0,27.0,31.524606094644177,29.0
planted_partition,20,23,28,2.0,22.0,25.0282292573585,22.0
planted_partition,20,24,36,1.0,26.0,29.91965729142005,28.0
planted_partition,20,25,34,2.0,27.0,28.31784082020042,25.0
planted_partition,20,26,37,1.0,29.0,32.05859135514916,30.0
planted_partition,20,27,34,3.0,27.0,27.65481341502692,25.0
planted_partition,20,28,34,1.0,25.0,27.13095531670907,25.0
planted_partition,20,29,43,1.0,34.0,35.36536498025491,33.0
planted_partition,50,0,245,19.0,150.0,174.1277183114943,160.0
planted_partition,50,1,232,21.0,149.0,166.92872034610411,149.0
planted_partition,50,2,249,56.0,171.0,179.03899671822828,166.0
planted_partition,50,3,241,48.0,158.0,172.94879700791606,155.0
planted_partition,50,4,245,7.0,173.0,177.32571899008553,168.0
planted_partition,50,5,242,11.0,162.0,172.99730185973647,151.0
planted_partition,50,6,238,9.0,157.0,170.417662541491,149.0
planted_partition,50,7,245,129.0,166.0,172.67558222941216,155.0
planted_partition,50,8,229,9.0,151.0,167.92873668147172,154.0
planted_partition,50,9,234,8.0,152.0,164.95355176521062,152.0
planted_partition,50,10,219,11.0,146.0,159.2790262879679,152.0
planted_partition,50,11,230,13.0,156.0,166.98929876057258,153.0
planted_partition,50,12,247,22.0,164.0,176.3189339224717,161.0
planted_partition,50,13,241,97.0,163.0,170.62092371801913,151.0
planted_partition,50,14,229,11.0,156.0,165.1027487614703,153.0
planted_partition,50,15,233,7.0,160.0,168.66847170754653,153.0
planted_partition,50,16,248,60.0,160.0,174.5986308518277,163.0
planted_partition,50,17,231,7.0,154.0,167.76582444261803,156.0
planted_partition,50,18,261,108.0,172.0,183.9655091195566,167.0
planted_partition,50,19,245,85.0,156.0,172.91666165446907,163.0
planted_partition,50,20,219,26.0,148.0,157.64817170452946,143.0
planted_partition,50,21,239,12.0,164.0,175.0531821109784,155.0
planted_partition,50,22,249,74.0,162.0,176.8720855048744,164.0
planted_partition,50,23,233,28.0,152.0,170.50903410427537,160.0
planted_partition,50,24,241,14.0,159.0,174.43638927519828,163.0
planted_partition,50,25,230,24.0,150.0,164.68121794145378,151.0
planted_partition,50,26,242,24.0,158.0,175.6606850744651,159.0
planted_partition,50,27,237,107.0,151.0,168.11435180712454,158.0
planted_partition,50,28,253,96.0,163.0,177.74561256049964,165.0
planted_partition,50,29,252,53.0,164.0,178.87724220955468,165.0
planted_partition,100,0,942,17.0,592.0,622.8223133605732,578.0
planted_partition,100,1,988,18.0,608.0,648.0275807991502,612.0
planted_partition,100,2,996,13.0,605.0,649.1264576164439,604.0
planted_partition,100,3,977,17.0,602.0,639.3917194393091,598.0
planted_partition,100,4,998,18.0,612.0,651.750461187158,617.0
planted_partition,100,5,976,22.0,602.0,643.8432208024024,608.0
planted_partition,100,6,970,25.0,605.0,638.1510466604739,590.0
planted_partition,100,7,964,21.0,594.0,633.1512689722447,585.0
planted_partition,100,8,969,19.0,588.0,637.770357924936,591.0
planted_partition,100,9,993,18.0,596.0,649.7753752463614,620.0
planted_partition,100,10,980,18.0,606.0,638.5611630390266,591.0
planted_partition,100,11,969,15.0,588.0,632.3770311136798,591.0
planted_partition,100,12,951,22.0,588.0,623.4691374590044,583.0
planted_partition,100,13,972,20.0,591.0,645.222313525197,604.0
planted_partition,100,14,934,11.0,589.0,621.3251107833885,574.0
planted_partition,100,15,1006,16.0,620.0,653.8737766691908,607.0
planted_partition,100,16,1007,20.0,617.0,654.6436404576269,620.0
planted_partition,100,17,966,17.0,599.0,632.3181020702386,593.0
planted_partition,100,18,1009,27.0,616.0,656.2437011868466,611.0
planted_partition,100,19,940,17.0,577.0,625.8567807497361,587.0
planted_partition,100,20,988,18.0,603.0,646.3481872818961,600.0
planted_partition,100,21,950,19.0,574.0,626.595755476182,578.0
planted_partition,100,22,968,23.0,585.0,637.9909853899821,613.0
planted_partition,100,23,962,21.0,604.0,637.1790222427192,584.0
planted_partition,100,24,934,22.0,577.0,617.4990558031146,576.0
planted_partition,100,25,992,21.0,604.0,647.8615854909153,600.0
planted_partition,100,26,961,17.0,591.0,633.3155156969681,592.0
planted_partition,100,27,991,14.0,592.0,645.6879232634917,610.0
planted_partition,100,28,1019,24.0,626.0,661.4671199370906,620.0
planted_partition,100,29,991,18.0,600.0,648.2235467794285,597.0
planted_partition,200,0,3946,37.0,2286.0,2419.5025053801437,2322.0
planted_partition,200,1,3966,42.0,2307.0,2421.6654417695136,2306.0
planted_partition,200,2,3930,39.0,2285.0,2410.5490351530034,2301.0
planted_partition,200,3,3899,30.0,2270.0,2393.550124452014,2276.0
planted_partition,200,4,3955,38.0,2279.0,2425.016933348039,2321.0
planted_partition,200,5,3970,42.0,2300.0,2433.8353057169115,2286.0
planted_partition,200,6,4006,42.0,2319.0,2440.882890470485,2321.0
planted_partition,200,7,3932,38.0,2296.0,2400.02405677575,2265.0
planted_partition,200,8,3907,51.0,2266.0,2396.530307549467,2246.0
planted_partition,200,9,4020,41.0,2339.0,2449.1959811407187,2359.0
