epoch,avg_loss,val_loss
1,-0.6196199927413673,-0.6406324505805969
2,-0.6409777685215599,-0.6435651779174805
3,-0.6432960054330659,-0.6470921039581299
4,-0.6462022547136274,-0.6456690430641174
5,-0.6469684107261792,-0.6485859751701355
6,-0.6486402268995318,-0.6485247611999512
7,-0.6501965993329099,-0.6518164277076721
8,-0.6514354609606559,-0.6503079533576965
9,-0.6515865074960809,-0.6536883115768433
10,-0.6527983462601378,-0.6542723774909973
11,-0.6531480613507723,-0.6541013121604919
12,-0.6536277846286171,-0.6511515974998474
13,-0.653614762582277,-0.655699610710144
14,-0.6545181326698839,-0.6534443497657776
15,-0.65495047548361,-0.6544092893600464
16,-0.6557477806743822,-0.6565134525299072
17,-0.6561137782899957,-0.6561535596847534
18,-0.6562062135913915,-0.6549021601676941
19,-0.6562286960451227,-0.6565182209014893
20,-0.6560692483918709,-0.6567951440811157
21,-0.6564140957698488,-0.6568646430969238
22,-0.6569518990683973,-0.6569178700447083
23,-0.6567250741155524,-0.656644344329834
24,-0.6572428554819342,-0.6565033793449402
25,-0.6570752670890406,-0.6569705605506897
26,-0.6567797681741547,-0.6571511030197144
27,-0.6573110735207274,-0.6578485369682312
28,-0.6576666026784662,-0.6571424603462219
29,-0.6576800796023586,-0.6582046747207642
30,-0.658095874284443,-0.6588612198829651
31,-0.6580855752292433,-0.6570708155632019
32,-0.657826985183515,-0.6577235460281372
33,-0.6576862732569376,-0.6571463942527771
34,-0.6580465990200377,-0.65758216381073
35,-0.6584144255571198,-0.6577323079109192
36,-0.6584525233820865,-0.6578672528266907
37,-0.6587034850789789,-0.6579636335372925
38,-0.6587186602123997,-0.6580822467803955
39,-0.6587242243582743,-0.6573933959007263
40,-0.65836910511318,-0.6580668091773987
41,-0.6586919301434567,-0.6578807830810547
42,-0.6586443353117558,-0.6573264002799988
43,-0.658841143574631,-0.6573915481567383
44,-0.6585493045940733,-0.6576918363571167
45,-0.658785062923766,-0.6585981845855713
46,-0.6589229399697822,-0.6582902073860168
47,-0.6594187847354955,-0.658835768699646
48,-0.6594601200337995,-0.6590569615364075
49,-0.6594230428076627,-0.6587703824043274
50,-0.6591224001165021,-0.6582965850830078
51,-0.659098722432789,-0.6584616303443909
52,-0.6594663638817636,-0.6586596369743347
53,-0.659652967202036,-0.6584246158599854
54,-0.6595095845690945,-0.6588552594184875
55,-0.6594585828613817,-0.6588192582130432
56,-0.6595954539483053,-0.6589346528053284
57,-0.6596459934585973,-0.6584802865982056
58,-0.6594728356913516,-0.6584875583648682
59,-0.6595982104017023,-0.6586015224456787
60,-0.6597982739147387,-0.6589568257331848
61,-0.6596904146043878,-0.6590901017189026
62,-0.6598825852076212,-0.6589043736457825
63,-0.6598363570999681,-0.6589670777320862
64,-0.6600642350682041,-0.6591037511825562
65,-0.6601462615163702,-0.6592886447906494
66,-0.6602847136949238,-0.6591695547103882
67,-0.6601952764025906,-0.6590426564216614
68,-0.6604322330993518,-0.6590614914894104
69,-0.6603934911259434,-0.6591037511825562
70,-0.660465303220247,-0.6590403318405151
71,-0.6605025801742286,-0.6591120958328247
72,-0.660517576493715,-0.6591009497642517
73,-0.660640605709009,-0.6591143012046814
74,-0.6606722013992176,-0.6590996384620667
75,-0.6606069541814035,-0.6590970158576965
76,-0.6607798264737714,-0.659113347530365
77,-0.6607379840131391,-0.6591180562973022
78,-0.6607963150007683,-0.6591158509254456
79,-0.6607955516430369,-0.659121572971344
80,-0.6608100847194069,-0.6591205596923828
