family,n,instance,m,prop_n,prop_m,prop_density,prop_avg_degree,prop_max_degree,prop_min_degree,prop_degree_std,prop_clustering_coeff,prop_diameter,prop_avg_path_length,prop_spectral_gap,prop_lambda_max_laplacian,prop_algebraic_connectivity,prop_spectral_radius,prop_lambda_min_adj,prop_n_components,random_cut,random_time,greedy_cut,greedy_time,spectral_cut,spectral_time,gw_cut,gw_time,gnn_cut,gnn_time,best_classical_cut,gnn_wins,gnn_relative
erdos_renyi,20,0,29,20,29,0.15263157894736842,2.9,5,1,1.1357816691600546,0.026666666666666665,6,2.705263157894737,0.24227044814818732,6.9992558068371835,0.24227044814818732,3.399015109173168,-2.862584986116812,1,14.0,0.00040291700133820996,23.0,0.00023291599791264161,24.0,0.0005602080054813996,25.0,0.02393037499859929,25.0,0.05151933399611153,25.0,0,1.0
erdos_renyi,20,1,23,20,23,0.12105263157894737,2.3,5,1,1.1445523142259597,0.075,8,3.457894736842105,0.11398448184075398,6.553385309911991,0.11398448184075398,2.8905637744110178,-2.745294293809783,1,11.0,0.00017708300583763048,18.0,0.0001841670018620789,22.0,0.0003191249998053536,22.0,0.011480082997877616,22.0,0.06903220900130691,22.0,0,1.0
erdos_renyi,20,2,31,20,31,0.1631578947368421,3.1,6,1,1.3000000000000003,0.09333333333333334,5,2.542105263157895,0.38842631493502505,7.6837822599207595,0.38842631493502505,3.690302028704494,-2.8841786754507854,1,16.0,0.00020283400226617232,26.0,0.0002374579999013804,26.0,0.0003488750007818453,26.0,0.012500417004048359,26.0,0.07473508399561979,26.0,0,1.0
erdos_renyi,20,3,27,20,27,0.14210526315789473,2.7,6,1,1.2288205727444508,0.25833333333333336,8,3.221052631578947,0.12123221566416832,7.179711562063314,0.12123221566416832,3.264762696100162,-2.7228133102442413,1,15.0,0.00016437500016763806,20.0,0.00022587500279769301,23.0,0.00033562499447725713,23.0,0.01342970800033072,23.0,0.04643116699298844,23.0,0,1.0
erdos_renyi,20,4,30,20,30,0.15789473684210525,3.0,5,1,1.1832159566199232,0.065,8,3.168421052631579,0.1485710033681286,7.795733235343976,0.1485710033681286,3.759634100270338,-3.4748050916249142,1,16.0,0.00016883400530787185,27.0,0.00026375000015832484,28.0,0.0004256669999449514,28.0,0.01816116699774284,28.0,0.04571408300398616,28.0,0,1.0
erdos_renyi,20,5,30,20,30,0.15789473684210525,3.0,6,1,1.51657508881031,0.06166666666666667,7,2.873684210526316,0.18194145359155225,8.086998208985019,0.18194145359155225,4.039069110280627,-3.340052345338568,1,20.0,0.0001842499987105839,28.0,0.00023979199613677338,28.0,0.00031687499722465873,28.0,0.011222958004509564,28.0,0.04753095799969742,28.0,0,1.0
erdos_renyi,20,6,28,20,28,0.14736842105263157,2.8,5,2,1.0770329614269007,0.09666666666666666,6,2.8684210526315788,0.25508174004567924,7.157894056184249,0.25508174004567924,3.2790611729564025,-2.9295070600574302,1,15.0,0.00017429199942853302,24.0,0.0001871250060503371,24.0,0.0003395409949007444,25.0,0.047216541002853774,25.0,0.059955500000796746,25.0,0,1.0
erdos_renyi,20,7,29,20,29,0.15263157894736842,2.9,5,1,1.2609520212918492,0.08166666666666667,7,2.8157894736842106,0.25999050735640006,7.087719523273781,0.25999050735640006,3.6589378338064122,-2.822738919095578,1,12.0,0.0003368339966982603,22.0,0.0005879160016775131,23.0,0.0005437090003397316,25.0,0.009843624997301959,25.0,0.04624195799988229,25.0,0,1.0
erdos_renyi,20,8,28,20,28,0.14736842105263157,2.8,5,2,0.812403840463596,0.185,7,3.068421052631579,0.19566230597972809,6.57277376529263,0.19566230597972809,3.177823987715509,-2.6277248604578,1,15.0,0.00018687500414671376,24.0,0.00020937500084983185,22.0,0.0003257919961470179,24.0,0.011047707994293887,22.0,0.06938641600572737,24.0,0,0.9166666666666666
erdos_renyi,20,9,25,20,25,0.13157894736842105,2.5,5,1,1.118033988749895,0.03833333333333333,7,3.1157894736842104,0.18246333315370364,6.619835331922972,0.18246333315370364,3.079291503503355,-2.7751765481368342,1,9.0,0.00018450000061420724,22.0,0.00020637499983422458,23.0,0.00034833300014724955,23.0,0.010090042000229005,23.0,0.059120416997757275,23.0,0,1.0
